"행정구역","2018년01월_총인구수","2018년01월_세대수","2018년01월_세대당 인구","2018년01월_남자 인구수","2018년01월_여자 인구수","2018년01월_남여 비율","2018년02월_총인구수","2018년02월_세대수","2018년02월_세대당 인구","2018년02월_남자 인구수","2018년02월_여자 인구수","2018년02월_남여 비율","2018년03월_총인구수","2018년03월_세대수","2018년03월_세대당 인구","2018년03월_남자 인구수","2018년03월_여자 인구수","2018년03월_남여 비율","2018년04월_총인구수","2018년04월_세대수","2018년04월_세대당 인구","2018년04월_남자 인구수","2018년04월_여자 인구수","2018년04월_남여 비율","2018년05월_총인구수","2018년05월_세대수","2018년05월_세대당 인구","2018년05월_남자 인구수","2018년05월_여자 인구수","2018년05월_남여 비율","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율","2018년07월_총인구수","2018년07월_세대수","2018년07월_세대당 인구","2018년07월_남자 인구수","2018년07월_여자 인구수","2018년07월_남여 비율","2018년08월_총인구수","2018년08월_세대수","2018년08월_세대당 인구","2018년08월_남자 인구수","2018년08월_여자 인구수","2018년08월_남여 비율","2018년09월_총인구수","2018년09월_세대수","2018년09월_세대당 인구","2018년09월_남자 인구수","2018년09월_여자 인구수","2018년09월_남여 비율","2018년10월_총인구수","2018년10월_세대수","2018년10월_세대당 인구","2018년10월_남자 인구수","2018년10월_여자 인구수","2018년10월_남여 비율","2018년11월_총인구수","2018년11월_세대수","2018년11월_세대당 인구","2018년11월_남자 인구수","2018년11월_여자 인구수","2018년11월_남여 비율","2018년12월_총인구수","2018년12월_세대수","2018년12월_세대당 인구","2018년12월_남자 인구수","2018년12월_여자 인구수","2018년12월_남여 비율","2019년01월_총인구수","2019년01월_세대수","2019년01월_세대당 인구","2019년01월_남자 인구수","2019년01월_여자 인구수","2019년01월_남여 비율","2019년02월_총인구수","2019년02월_세대수","2019년02월_세대당 인구","2019년02월_남자 인구수","2019년02월_여자 인구수","2019년02월_남여 비율","2019년03월_총인구수","2019년03월_세대수","2019년03월_세대당 인구","2019년03월_남자 인구수","2019년03월_여자 인구수","2019년03월_남여 비율","2019년04월_총인구수","2019년04월_세대수","2019년04월_세대당 인구","2019년04월_남자 인구수","2019년04월_여자 인구수","2019년04월_남여 비율","2019년05월_총인구수","2019년05월_세대수","2019년05월_세대당 인구","2019년05월_남자 인구수","2019년05월_여자 인구수","2019년05월_남여 비율","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율","2019년07월_총인구수","2019년07월_세대수","2019년07월_세대당 인구","2019년07월_남자 인구수","2019년07월_여자 인구수","2019년07월_남여 비율","2019년08월_총인구수","2019년08월_세대수","2019년08월_세대당 인구","2019년08월_남자 인구수","2019년08월_여자 인구수","2019년08월_남여 비율","2019년09월_총인구수","2019년09월_세대수","2019년09월_세대당 인구","2019년09월_남자 인구수","2019년09월_여자 인구수","2019년09월_남여 비율","2019년10월_총인구수","2019년10월_세대수","2019년10월_세대당 인구","2019년10월_남자 인구수","2019년10월_여자 인구수","2019년10월_남여 비율","2019년11월_총인구수","2019년11월_세대수","2019년11월_세대당 인구","2019년11월_남자 인구수","2019년11월_여자 인구수","2019년11월_남여 비율","2019년12월_총인구수","2019년12월_세대수","2019년12월_세대당 인구","2019년12월_남자 인구수","2019년12월_여자 인구수","2019년12월_남여 비율","2020년01월_총인구수","2020년01월_세대수","2020년01월_세대당 인구","2020년01월_남자 인구수","2020년01월_여자 인구수","2020년01월_남여 비율","2020년02월_총인구수","2020년02월_세대수","2020년02월_세대당 인구","2020년02월_남자 인구수","2020년02월_여자 인구수","2020년02월_남여 비율","2020년03월_총인구수","2020년03월_세대수","2020년03월_세대당 인구","2020년03월_남자 인구수","2020년03월_여자 인구수","2020년03월_남여 비율","2020년04월_총인구수","2020년04월_세대수","2020년04월_세대당 인구","2020년04월_남자 인구수","2020년04월_여자 인구수","2020년04월_남여 비율","2020년05월_총인구수","2020년05월_세대수","2020년05월_세대당 인구","2020년05월_남자 인구수","2020년05월_여자 인구수","2020년05월_남여 비율","2020년06월_총인구수","2020년06월_세대수","2020년06월_세대당 인구","2020년06월_남자 인구수","2020년06월_여자 인구수","2020년06월_남여 비율","2020년07월_총인구수","2020년07월_세대수","2020년07월_세대당 인구","2020년07월_남자 인구수","2020년07월_여자 인구수","2020년07월_남여 비율","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율","2020년09월_총인구수","2020년09월_세대수","2020년09월_세대당 인구","2020년09월_남자 인구수","2020년09월_여자 인구수","2020년09월_남여 비율","2020년10월_총인구수","2020년10월_세대수","2020년10월_세대당 인구","2020년10월_남자 인구수","2020년10월_여자 인구수","2020년10월_남여 비율","2020년11월_총인구수","2020년11월_세대수","2020년11월_세대당 인구","2020년11월_남자 인구수","2020년11월_여자 인구수","2020년11월_남여 비율","2020년12월_총인구수","2020년12월_세대수","2020년12월_세대당 인구","2020년12월_남자 인구수","2020년12월_여자 인구수","2020년12월_남여 비율"
"광주광역시 광산구 (2920000000)","404,027","153,653","          2.63","203,153","200,874","          1.01","403,553","153,756","          2.62","202,921","200,632","          1.01","403,442","154,003","          2.62","202,772","200,670","          1.01","403,577","154,300","          2.62","202,849","200,728","          1.01","403,797","154,529","          2.61","202,962","200,835","          1.01","404,068","154,759","          2.61","203,092","200,976","          1.01","404,350","155,141","          2.61","203,236","201,114","          1.01","404,432","155,493","          2.60","203,249","201,183","          1.01","404,366","155,678","          2.60","203,223","201,143","          1.01","404,373","156,029","          2.59","203,262","201,111","          1.01","404,606","156,432","          2.59","203,465","201,141","          1.01","404,547","156,713","          2.58","203,479","201,068","          1.01","404,672","157,139","          2.58","203,655","201,017","          1.01","404,734","157,616","          2.57","203,729","201,005","          1.01","405,677","158,275","          2.56","204,185","201,492","          1.01","406,384","158,833","          2.56","204,588","201,796","          1.01","407,157","159,451","          2.55","204,991","202,166","          1.01","407,235","159,678","          2.55","205,020","202,215","          1.01","407,126","159,918","          2.55","204,978","202,148","          1.01","406,893","160,087","          2.54","204,800","202,093","          1.01","406,579","160,092","          2.54","204,605","201,974","          1.01","406,153","160,150","          2.54","204,387","201,766","          1.01","405,984","160,438","          2.53","204,310","201,674","          1.01","405,315","160,569","          2.52","203,983","201,332","          1.01","405,525","160,929","          2.52","204,163","201,362","          1.01","405,600","161,330","          2.51","204,204","201,396","          1.01","405,969","161,970","          2.51","204,435","201,534","          1.01","406,781","162,824","          2.50","204,812","201,969","          1.01","407,036","163,611","          2.49","204,966","202,070","          1.01","406,827","164,004","          2.48","204,865","201,962","          1.01","407,133","164,636","          2.47","205,039","202,094","          1.01","407,371","165,175","          2.47","205,184","202,187","          1.01","407,138","165,526","          2.46","205,105","202,033","          1.02","406,560","165,528","          2.46","204,792","201,768","          1.01","406,126","165,654","          2.45","204,579","201,547","          1.02","405,579","165,888","          2.44","204,296","201,283","          1.01"
"광주광역시 광산구 송정1동(2920051500)","11,147","4,529","          2.46","5,671","5,476","          1.04","11,073","4,516","          2.45","5,631","5,442","          1.03","11,038","4,510","          2.45","5,591","5,447","          1.03","11,036","4,512","          2.45","5,596","5,440","          1.03","11,164","4,566","          2.45","5,650","5,514","          1.02","11,212","4,581","          2.45","5,666","5,546","          1.02","11,186","4,591","          2.44","5,657","5,529","          1.02","11,195","4,615","          2.43","5,656","5,539","          1.02","11,179","4,612","          2.42","5,649","5,530","          1.02","11,219","4,638","          2.42","5,675","5,544","          1.02","11,200","4,626","          2.42","5,663","5,537","          1.02","11,161","4,639","          2.41","5,645","5,516","          1.02","11,152","4,658","          2.39","5,639","5,513","          1.02","11,203","4,686","          2.39","5,667","5,536","          1.02","11,220","4,704","          2.39","5,684","5,536","          1.03","11,172","4,693","          2.38","5,657","5,515","          1.03","11,216","4,723","          2.37","5,674","5,542","          1.02","11,183","4,722","          2.37","5,660","5,523","          1.02","11,174","4,734","          2.36","5,666","5,508","          1.03","11,193","4,752","          2.36","5,668","5,525","          1.03","11,270","4,771","          2.36","5,700","5,570","          1.02","11,330","4,796","          2.36","5,730","5,600","          1.02","11,358","4,822","          2.36","5,735","5,623","          1.02","11,381","4,841","          2.35","5,737","5,644","          1.02","11,370","4,853","          2.34","5,733","5,637","          1.02","11,397","4,865","          2.34","5,747","5,650","          1.02","11,380","4,856","          2.34","5,746","5,634","          1.02","11,303","4,854","          2.33","5,707","5,596","          1.02","11,299","4,871","          2.32","5,699","5,600","          1.02","11,262","4,876","          2.31","5,684","5,578","          1.02","11,253","4,881","          2.31","5,670","5,583","          1.02","11,232","4,882","          2.30","5,667","5,565","          1.02","11,274","4,902","          2.30","5,692","5,582","          1.02","11,237","4,900","          2.29","5,664","5,573","          1.02","11,183","4,898","          2.28","5,631","5,552","          1.01","11,177","4,901","          2.28","5,625","5,552","          1.01"
"광주광역시 광산구 송정2동(2920052500)","6,241","3,025","          2.06","3,130","3,111","          1.01","6,258","3,037","          2.06","3,136","3,122","          1.00","6,235","3,041","          2.05","3,121","3,114","          1.00","6,235","3,053","          2.04","3,123","3,112","          1.00","6,205","3,032","          2.05","3,111","3,094","          1.01","6,204","3,033","          2.05","3,113","3,091","          1.01","6,367","3,106","          2.05","3,197","3,170","          1.01","6,534","3,188","          2.05","3,266","3,268","          1.00","6,668","3,264","          2.04","3,328","3,340","          1.00","6,770","3,325","          2.04","3,379","3,391","          1.00","6,813","3,353","          2.03","3,396","3,417","          0.99","6,825","3,369","          2.03","3,414","3,411","          1.00","6,852","3,382","          2.03","3,426","3,426","          1.00","6,812","3,378","          2.02","3,405","3,407","          1.00","6,784","3,376","          2.01","3,393","3,391","          1.00","6,748","3,359","          2.01","3,371","3,377","          1.00","6,769","3,376","          2.01","3,393","3,376","          1.01","6,778","3,379","          2.01","3,389","3,389","          1.00","6,784","3,392","          2.00","3,394","3,390","          1.00","6,803","3,399","          2.00","3,402","3,401","          1.00","6,781","3,406","          1.99","3,390","3,391","          1.00","6,752","3,398","          1.99","3,380","3,372","          1.00","6,728","3,397","          1.98","3,377","3,351","          1.01","6,719","3,402","          1.98","3,370","3,349","          1.01","6,711","3,403","          1.97","3,371","3,340","          1.01","6,744","3,415","          1.97","3,385","3,359","          1.01","6,709","3,410","          1.97","3,369","3,340","          1.01","6,723","3,439","          1.95","3,373","3,350","          1.01","6,737","3,449","          1.95","3,389","3,348","          1.01","6,729","3,451","          1.95","3,395","3,334","          1.02","6,710","3,456","          1.94","3,388","3,322","          1.02","6,678","3,447","          1.94","3,364","3,314","          1.02","6,682","3,454","          1.93","3,354","3,328","          1.01","6,675","3,444","          1.94","3,353","3,322","          1.01","6,659","3,438","          1.94","3,344","3,315","          1.01","6,641","3,435","          1.93","3,343","3,298","          1.01"
"광주광역시 광산구 도산동(2920054000)","15,207","6,146","          2.47","7,615","7,592","          1.00","15,216","6,160","          2.47","7,616","7,600","          1.00","15,207","6,167","          2.47","7,615","7,592","          1.00","15,226","6,169","          2.47","7,615","7,611","          1.00","15,260","6,180","          2.47","7,628","7,632","          1.00","15,277","6,180","          2.47","7,634","7,643","          1.00","15,247","6,166","          2.47","7,617","7,630","          1.00","15,196","6,162","          2.47","7,601","7,595","          1.00","15,185","6,165","          2.46","7,597","7,588","          1.00","15,122","6,165","          2.45","7,557","7,565","          1.00","15,105","6,182","          2.44","7,540","7,565","          1.00","15,063","6,187","          2.43","7,527","7,536","          1.00","15,095","6,224","          2.43","7,552","7,543","          1.00","15,115","6,235","          2.42","7,562","7,553","          1.00","15,617","6,431","          2.43","7,814","7,803","          1.00","15,927","6,572","          2.42","7,981","7,946","          1.00","16,146","6,672","          2.42","8,102","8,044","          1.01","16,250","6,708","          2.42","8,162","8,088","          1.01","16,273","6,734","          2.42","8,164","8,109","          1.01","16,332","6,765","          2.41","8,191","8,141","          1.01","16,258","6,727","          2.42","8,174","8,084","          1.01","16,238","6,722","          2.42","8,163","8,075","          1.01","16,207","6,708","          2.42","8,146","8,061","          1.01","16,164","6,703","          2.41","8,120","8,044","          1.01","16,173","6,708","          2.41","8,141","8,032","          1.01","16,169","6,699","          2.41","8,137","8,032","          1.01","16,136","6,696","          2.41","8,127","8,009","          1.01","16,138","6,705","          2.41","8,119","8,019","          1.01","16,077","6,701","          2.40","8,082","7,995","          1.01","16,041","6,707","          2.39","8,065","7,976","          1.01","15,976","6,689","          2.39","8,032","7,944","          1.01","15,910","6,673","          2.38","8,004","7,906","          1.01","15,848","6,675","          2.37","7,974","7,874","          1.01","15,813","6,666","          2.37","7,952","7,861","          1.01","15,797","6,678","          2.37","7,949","7,848","          1.01","15,817","6,710","          2.36","7,963","7,854","          1.01"
"광주광역시 광산구 신흥동(2920055000)","4,975","2,047","          2.43","2,492","2,483","          1.00","4,961","2,048","          2.42","2,492","2,469","          1.01","4,985","2,066","          2.41","2,500","2,485","          1.01","4,990","2,073","          2.41","2,501","2,489","          1.00","5,049","2,083","          2.42","2,533","2,516","          1.01","5,047","2,078","          2.43","2,531","2,516","          1.01","5,028","2,076","          2.42","2,520","2,508","          1.00","5,048","2,087","          2.42","2,530","2,518","          1.00","5,041","2,095","          2.41","2,520","2,521","          1.00","5,006","2,098","          2.39","2,502","2,504","          1.00","4,997","2,104","          2.38","2,512","2,485","          1.01","4,987","2,107","          2.37","2,509","2,478","          1.01","5,010","2,117","          2.37","2,520","2,490","          1.01","5,022","2,114","          2.38","2,526","2,496","          1.01","5,021","2,120","          2.37","2,535","2,486","          1.02","4,991","2,115","          2.36","2,524","2,467","          1.02","4,964","2,113","          2.35","2,510","2,454","          1.02","4,975","2,118","          2.35","2,516","2,459","          1.02","4,969","2,115","          2.35","2,510","2,459","          1.02","4,959","2,120","          2.34","2,510","2,449","          1.02","4,942","2,120","          2.33","2,495","2,447","          1.02","4,927","2,111","          2.33","2,483","2,444","          1.02","4,911","2,110","          2.33","2,473","2,438","          1.01","4,890","2,098","          2.33","2,464","2,426","          1.02","4,907","2,106","          2.33","2,479","2,428","          1.02","4,881","2,111","          2.31","2,464","2,417","          1.02","4,834","2,091","          2.31","2,429","2,405","          1.01","4,778","2,072","          2.31","2,406","2,372","          1.01","4,799","2,083","          2.30","2,424","2,375","          1.02","4,780","2,088","          2.29","2,419","2,361","          1.02","4,750","2,089","          2.27","2,399","2,351","          1.02","4,750","2,081","          2.28","2,406","2,344","          1.03","4,765","2,087","          2.28","2,412","2,353","          1.03","4,742","2,081","          2.28","2,390","2,352","          1.02","4,743","2,077","          2.28","2,389","2,354","          1.01","4,725","2,071","          2.28","2,380","2,345","          1.01"
"광주광역시 광산구 어룡동(2920056500)","33,269","13,151","          2.53","16,963","16,306","          1.04","33,317","13,189","          2.53","16,968","16,349","          1.04","33,347","13,206","          2.53","16,982","16,365","          1.04","33,287","13,210","          2.52","16,948","16,339","          1.04","33,325","13,224","          2.52","17,014","16,311","          1.04","33,387","13,265","          2.52","17,046","16,341","          1.04","33,443","13,307","          2.51","17,092","16,351","          1.05","33,381","13,288","          2.51","17,063","16,318","          1.05","33,421","13,303","          2.51","17,090","16,331","          1.05","33,374","13,295","          2.51","17,042","16,332","          1.04","33,373","13,304","          2.51","17,043","16,330","          1.04","33,382","13,321","          2.51","17,033","16,349","          1.04","33,356","13,328","          2.50","17,026","16,330","          1.04","33,333","13,356","          2.50","17,020","16,313","          1.04","33,280","13,360","          2.49","16,996","16,284","          1.04","33,281","13,398","          2.48","17,021","16,260","          1.05","33,279","13,422","          2.48","17,018","16,261","          1.05","33,260","13,438","          2.48","17,020","16,240","          1.05","33,155","13,416","          2.47","16,975","16,180","          1.05","33,111","13,429","          2.47","16,941","16,170","          1.05","33,091","13,425","          2.46","16,936","16,155","          1.05","33,043","13,415","          2.46","16,942","16,101","          1.05","33,009","13,419","          2.46","16,929","16,080","          1.05","32,876","13,385","          2.46","16,858","16,018","          1.05","32,813","13,376","          2.45","16,821","15,992","          1.05","32,755","13,382","          2.45","16,769","15,986","          1.05","32,672","13,354","          2.45","16,723","15,949","          1.05","32,587","13,357","          2.44","16,690","15,897","          1.05","32,491","13,369","          2.43","16,634","15,857","          1.05","32,537","13,401","          2.43","16,621","15,916","          1.04","32,916","13,588","          2.42","16,819","16,097","          1.04","33,061","13,654","          2.42","16,865","16,196","          1.04","33,082","13,690","          2.42","16,871","16,211","          1.04","33,079","13,704","          2.41","16,886","16,193","          1.04","33,019","13,718","          2.41","16,873","16,146","          1.05","32,945","13,725","          2.40","16,838","16,107","          1.05"
"광주광역시 광산구 우산동(2920058000)","23,909","11,248","          2.13","12,090","11,819","          1.02","23,820","11,216","          2.12","12,055","11,765","          1.02","23,877","11,245","          2.12","12,088","11,789","          1.03","23,972","11,302","          2.12","12,131","11,841","          1.02","24,055","11,356","          2.12","12,176","11,879","          1.03","24,089","11,377","          2.12","12,216","11,873","          1.03","24,145","11,417","          2.11","12,234","11,911","          1.03","24,199","11,460","          2.11","12,260","11,939","          1.03","24,195","11,487","          2.11","12,262","11,933","          1.03","24,164","11,519","          2.10","12,235","11,929","          1.03","24,099","11,515","          2.09","12,208","11,891","          1.03","24,066","11,526","          2.09","12,198","11,868","          1.03","24,191","11,656","          2.08","12,247","11,944","          1.03","24,271","11,734","          2.07","12,287","11,984","          1.03","24,215","11,766","          2.06","12,260","11,955","          1.03","24,204","11,780","          2.05","12,246","11,958","          1.02","24,141","11,764","          2.05","12,204","11,937","          1.02","24,089","11,756","          2.05","12,179","11,910","          1.02","24,056","11,779","          2.04","12,161","11,895","          1.02","24,055","11,802","          2.04","12,147","11,908","          1.02","24,003","11,790","          2.04","12,125","11,878","          1.02","24,020","11,837","          2.03","12,117","11,903","          1.02","24,107","11,933","          2.02","12,174","11,933","          1.02","24,189","12,038","          2.01","12,228","11,961","          1.02","24,326","12,113","          2.01","12,309","12,017","          1.02","24,401","12,169","          2.01","12,368","12,033","          1.03","25,199","12,559","          2.01","12,775","12,424","          1.03","26,176","13,020","          2.01","13,281","12,895","          1.03","26,675","13,308","          2.00","13,546","13,129","          1.03","26,990","13,480","          2.00","13,722","13,268","          1.03","27,179","13,582","          2.00","13,802","13,377","          1.03","27,267","13,660","          2.00","13,856","13,411","          1.03","27,399","13,776","          1.99","13,917","13,482","          1.03","27,437","13,844","          1.98","13,926","13,511","          1.03","27,504","13,909","          1.98","13,981","13,523","          1.03","27,596","13,992","          1.97","14,036","13,560","          1.04"
"광주광역시 광산구 월곡1동(2920060000)","12,731","5,173","          2.46","6,502","6,229","          1.04","12,704","5,170","          2.46","6,483","6,221","          1.04","12,639","5,150","          2.45","6,437","6,202","          1.04","12,594","5,152","          2.44","6,420","6,174","          1.04","12,537","5,137","          2.44","6,384","6,153","          1.04","12,459","5,123","          2.43","6,340","6,119","          1.04","12,445","5,119","          2.43","6,340","6,105","          1.04","12,415","5,121","          2.42","6,326","6,089","          1.04","12,388","5,110","          2.42","6,304","6,084","          1.04","12,376","5,114","          2.42","6,319","6,057","          1.04","12,381","5,122","          2.42","6,320","6,061","          1.04","12,294","5,106","          2.41","6,274","6,020","          1.04","12,270","5,103","          2.40","6,255","6,015","          1.04","12,240","5,114","          2.39","6,233","6,007","          1.04","12,169","5,102","          2.39","6,196","5,973","          1.04","12,177","5,117","          2.38","6,196","5,981","          1.04","12,130","5,126","          2.37","6,169","5,961","          1.03","12,097","5,126","          2.36","6,160","5,937","          1.04","12,085","5,140","          2.35","6,157","5,928","          1.04","12,020","5,115","          2.35","6,121","5,899","          1.04","12,014","5,114","          2.35","6,107","5,907","          1.03","11,981","5,114","          2.34","6,083","5,898","          1.03","11,898","5,097","          2.33","6,039","5,859","          1.03","11,852","5,096","          2.33","6,028","5,824","          1.04","11,804","5,082","          2.32","6,013","5,791","          1.04","11,757","5,076","          2.32","5,993","5,764","          1.04","11,725","5,071","          2.31","5,973","5,752","          1.04","11,687","5,082","          2.30","5,943","5,744","          1.03","11,605","5,065","          2.29","5,908","5,697","          1.04","11,580","5,066","          2.29","5,893","5,687","          1.04","11,560","5,078","          2.28","5,871","5,689","          1.03","11,531","5,073","          2.27","5,845","5,686","          1.03","11,523","5,066","          2.27","5,848","5,675","          1.03","11,482","5,046","          2.28","5,817","5,665","          1.03","11,455","5,038","          2.27","5,807","5,648","          1.03","11,366","5,021","          2.26","5,754","5,612","          1.03"
"광주광역시 광산구 월곡2동(2920061000)","18,040","6,844","          2.64","9,251","8,789","          1.05","17,967","6,827","          2.63","9,201","8,766","          1.05","17,874","6,811","          2.62","9,149","8,725","          1.05","17,822","6,778","          2.63","9,131","8,691","          1.05","17,739","6,755","          2.63","9,088","8,651","          1.05","17,721","6,744","          2.63","9,059","8,662","          1.05","17,722","6,743","          2.63","9,046","8,676","          1.04","17,695","6,749","          2.62","9,034","8,661","          1.04","17,681","6,753","          2.62","9,038","8,643","          1.05","17,597","6,731","          2.61","9,001","8,596","          1.05","17,487","6,730","          2.60","8,935","8,552","          1.04","17,426","6,717","          2.59","8,903","8,523","          1.04","17,476","6,739","          2.59","8,926","8,550","          1.04","17,427","6,747","          2.58","8,902","8,525","          1.04","17,441","6,774","          2.57","8,901","8,540","          1.04","17,395","6,757","          2.57","8,878","8,517","          1.04","17,335","6,752","          2.57","8,851","8,484","          1.04","17,325","6,756","          2.56","8,835","8,490","          1.04","17,293","6,759","          2.56","8,820","8,473","          1.04","17,254","6,751","          2.56","8,789","8,465","          1.04","17,189","6,744","          2.55","8,745","8,444","          1.04","17,096","6,733","          2.54","8,698","8,398","          1.04","17,044","6,724","          2.53","8,668","8,376","          1.03","16,933","6,693","          2.53","8,604","8,329","          1.03","16,833","6,677","          2.52","8,556","8,277","          1.03","16,728","6,655","          2.51","8,486","8,242","          1.03","16,640","6,636","          2.51","8,452","8,188","          1.03","16,551","6,623","          2.50","8,403","8,148","          1.03","16,540","6,643","          2.49","8,401","8,139","          1.03","16,464","6,625","          2.49","8,355","8,109","          1.03","16,375","6,614","          2.48","8,309","8,066","          1.03","16,386","6,652","          2.46","8,327","8,059","          1.03","16,352","6,664","          2.45","8,297","8,055","          1.03","16,333","6,667","          2.45","8,284","8,049","          1.03","16,324","6,693","          2.44","8,276","8,048","          1.03","16,260","6,708","          2.42","8,248","8,012","          1.03"
"광주광역시 광산구 비아동(2920062000)","6,935","3,087","          2.25","3,672","3,263","          1.13","6,911","3,089","          2.24","3,660","3,251","          1.13","6,944","3,101","          2.24","3,675","3,269","          1.12","7,016","3,128","          2.24","3,725","3,291","          1.13","7,137","3,168","          2.25","3,777","3,360","          1.12","7,188","3,198","          2.25","3,796","3,392","          1.12","7,183","3,198","          2.25","3,789","3,394","          1.12","7,177","3,200","          2.24","3,781","3,396","          1.11","7,178","3,206","          2.24","3,787","3,391","          1.12","7,160","3,216","          2.23","3,782","3,378","          1.12","7,167","3,227","          2.22","3,788","3,379","          1.12","7,187","3,237","          2.22","3,799","3,388","          1.12","7,242","3,266","          2.22","3,836","3,406","          1.13","7,340","3,303","          2.22","3,890","3,450","          1.13","7,334","3,299","          2.22","3,878","3,456","          1.12","7,305","3,289","          2.22","3,861","3,444","          1.12","7,316","3,306","          2.21","3,876","3,440","          1.13","7,307","3,303","          2.21","3,877","3,430","          1.13","7,309","3,308","          2.21","3,878","3,431","          1.13","7,295","3,306","          2.21","3,857","3,438","          1.12","7,290","3,303","          2.21","3,852","3,438","          1.12","7,311","3,290","          2.22","3,855","3,456","          1.12","7,284","3,289","          2.21","3,841","3,443","          1.12","7,290","3,292","          2.21","3,831","3,459","          1.11","7,321","3,302","          2.22","3,843","3,478","          1.10","7,336","3,324","          2.21","3,848","3,488","          1.10","7,342","3,333","          2.20","3,855","3,487","          1.11","7,326","3,331","          2.20","3,842","3,484","          1.10","7,329","3,347","          2.19","3,845","3,484","          1.10","7,333","3,355","          2.19","3,851","3,482","          1.11","7,333","3,364","          2.18","3,858","3,475","          1.11","7,350","3,378","          2.18","3,865","3,485","          1.11","7,357","3,395","          2.17","3,882","3,475","          1.12","7,356","3,394","          2.17","3,884","3,472","          1.12","7,308","3,376","          2.16","3,856","3,452","          1.12","7,295","3,366","          2.17","3,845","3,450","          1.11"
