"행정구역","2018년01월_총인구수","2018년01월_세대수","2018년01월_세대당 인구","2018년01월_남자 인구수","2018년01월_여자 인구수","2018년01월_남여 비율","2018년02월_총인구수","2018년02월_세대수","2018년02월_세대당 인구","2018년02월_남자 인구수","2018년02월_여자 인구수","2018년02월_남여 비율","2018년03월_총인구수","2018년03월_세대수","2018년03월_세대당 인구","2018년03월_남자 인구수","2018년03월_여자 인구수","2018년03월_남여 비율","2018년04월_총인구수","2018년04월_세대수","2018년04월_세대당 인구","2018년04월_남자 인구수","2018년04월_여자 인구수","2018년04월_남여 비율","2018년05월_총인구수","2018년05월_세대수","2018년05월_세대당 인구","2018년05월_남자 인구수","2018년05월_여자 인구수","2018년05월_남여 비율","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율","2018년07월_총인구수","2018년07월_세대수","2018년07월_세대당 인구","2018년07월_남자 인구수","2018년07월_여자 인구수","2018년07월_남여 비율","2018년08월_총인구수","2018년08월_세대수","2018년08월_세대당 인구","2018년08월_남자 인구수","2018년08월_여자 인구수","2018년08월_남여 비율","2018년09월_총인구수","2018년09월_세대수","2018년09월_세대당 인구","2018년09월_남자 인구수","2018년09월_여자 인구수","2018년09월_남여 비율","2018년10월_총인구수","2018년10월_세대수","2018년10월_세대당 인구","2018년10월_남자 인구수","2018년10월_여자 인구수","2018년10월_남여 비율","2018년11월_총인구수","2018년11월_세대수","2018년11월_세대당 인구","2018년11월_남자 인구수","2018년11월_여자 인구수","2018년11월_남여 비율","2018년12월_총인구수","2018년12월_세대수","2018년12월_세대당 인구","2018년12월_남자 인구수","2018년12월_여자 인구수","2018년12월_남여 비율","2019년01월_총인구수","2019년01월_세대수","2019년01월_세대당 인구","2019년01월_남자 인구수","2019년01월_여자 인구수","2019년01월_남여 비율","2019년02월_총인구수","2019년02월_세대수","2019년02월_세대당 인구","2019년02월_남자 인구수","2019년02월_여자 인구수","2019년02월_남여 비율","2019년03월_총인구수","2019년03월_세대수","2019년03월_세대당 인구","2019년03월_남자 인구수","2019년03월_여자 인구수","2019년03월_남여 비율","2019년04월_총인구수","2019년04월_세대수","2019년04월_세대당 인구","2019년04월_남자 인구수","2019년04월_여자 인구수","2019년04월_남여 비율","2019년05월_총인구수","2019년05월_세대수","2019년05월_세대당 인구","2019년05월_남자 인구수","2019년05월_여자 인구수","2019년05월_남여 비율","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율","2019년07월_총인구수","2019년07월_세대수","2019년07월_세대당 인구","2019년07월_남자 인구수","2019년07월_여자 인구수","2019년07월_남여 비율","2019년08월_총인구수","2019년08월_세대수","2019년08월_세대당 인구","2019년08월_남자 인구수","2019년08월_여자 인구수","2019년08월_남여 비율","2019년09월_총인구수","2019년09월_세대수","2019년09월_세대당 인구","2019년09월_남자 인구수","2019년09월_여자 인구수","2019년09월_남여 비율","2019년10월_총인구수","2019년10월_세대수","2019년10월_세대당 인구","2019년10월_남자 인구수","2019년10월_여자 인구수","2019년10월_남여 비율","2019년11월_총인구수","2019년11월_세대수","2019년11월_세대당 인구","2019년11월_남자 인구수","2019년11월_여자 인구수","2019년11월_남여 비율","2019년12월_총인구수","2019년12월_세대수","2019년12월_세대당 인구","2019년12월_남자 인구수","2019년12월_여자 인구수","2019년12월_남여 비율","2020년01월_총인구수","2020년01월_세대수","2020년01월_세대당 인구","2020년01월_남자 인구수","2020년01월_여자 인구수","2020년01월_남여 비율","2020년02월_총인구수","2020년02월_세대수","2020년02월_세대당 인구","2020년02월_남자 인구수","2020년02월_여자 인구수","2020년02월_남여 비율","2020년03월_총인구수","2020년03월_세대수","2020년03월_세대당 인구","2020년03월_남자 인구수","2020년03월_여자 인구수","2020년03월_남여 비율","2020년04월_총인구수","2020년04월_세대수","2020년04월_세대당 인구","2020년04월_남자 인구수","2020년04월_여자 인구수","2020년04월_남여 비율","2020년05월_총인구수","2020년05월_세대수","2020년05월_세대당 인구","2020년05월_남자 인구수","2020년05월_여자 인구수","2020년05월_남여 비율","2020년06월_총인구수","2020년06월_세대수","2020년06월_세대당 인구","2020년06월_남자 인구수","2020년06월_여자 인구수","2020년06월_남여 비율","2020년07월_총인구수","2020년07월_세대수","2020년07월_세대당 인구","2020년07월_남자 인구수","2020년07월_여자 인구수","2020년07월_남여 비율","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율","2020년09월_총인구수","2020년09월_세대수","2020년09월_세대당 인구","2020년09월_남자 인구수","2020년09월_여자 인구수","2020년09월_남여 비율","2020년10월_총인구수","2020년10월_세대수","2020년10월_세대당 인구","2020년10월_남자 인구수","2020년10월_여자 인구수","2020년10월_남여 비율","2020년11월_총인구수","2020년11월_세대수","2020년11월_세대당 인구","2020년11월_남자 인구수","2020년11월_여자 인구수","2020년11월_남여 비율","2020년12월_총인구수","2020년12월_세대수","2020년12월_세대당 인구","2020년12월_남자 인구수","2020년12월_여자 인구수","2020년12월_남여 비율"
"광주광역시 남구 (2915500000)","218,502","88,741","          2.46","105,627","112,875","          0.94","218,402","88,812","          2.46","105,594","112,808","          0.94","217,982","88,744","          2.46","105,313","112,669","          0.93","217,558","88,728","          2.45","105,087","112,471","          0.93","217,305","88,691","          2.45","104,967","112,338","          0.93","217,381","88,782","          2.45","105,027","112,354","          0.93","217,312","88,906","          2.44","104,953","112,359","          0.93","217,301","89,097","          2.44","104,897","112,404","          0.93","217,184","89,247","          2.43","104,814","112,370","          0.93","216,955","89,312","          2.43","104,659","112,296","          0.93","216,710","89,421","          2.42","104,513","112,197","          0.93","216,369","89,574","          2.42","104,337","112,032","          0.93","216,655","89,876","          2.41","104,477","112,178","          0.93","217,472","90,307","          2.41","104,888","112,584","          0.93","217,743","90,586","          2.40","105,027","112,716","          0.93","217,679","90,680","          2.40","105,030","112,649","          0.93","217,616","90,852","          2.40","104,995","112,621","          0.93","217,949","91,141","          2.39","105,136","112,813","          0.93","218,003","91,342","          2.39","105,181","112,822","          0.93","218,143","91,550","          2.38","105,182","112,961","          0.93","218,030","91,644","          2.38","105,125","112,905","          0.93","218,116","91,807","          2.38","105,116","113,000","          0.93","218,289","92,057","          2.37","105,191","113,098","          0.93","218,060","92,233","          2.36","105,027","113,033","          0.93","218,035","92,297","          2.36","105,018","113,017","          0.93","217,993","92,378","          2.36","104,972","113,021","          0.93","217,810","92,473","          2.36","104,881","112,929","          0.93","217,543","92,682","          2.35","104,745","112,798","          0.93","216,758","92,668","          2.34","104,351","112,407","          0.93","216,256","92,665","          2.33","104,128","112,128","          0.93","215,987","92,699","          2.33","104,009","111,978","          0.93","215,701","92,806","          2.32","103,846","111,855","          0.93","215,266","92,889","          2.32","103,633","111,633","          0.93","215,072","92,986","          2.31","103,526","111,546","          0.93","214,752","93,045","          2.31","103,360","111,392","          0.93","214,579","93,295","          2.30","103,257","111,322","          0.93"
"광주광역시 남구 양림동(2915551000)","8,001","3,384","          2.36","3,745","4,256","          0.88","7,956","3,377","          2.36","3,728","4,228","          0.88","7,972","3,374","          2.36","3,723","4,249","          0.88","7,951","3,363","          2.36","3,707","4,244","          0.87","7,917","3,347","          2.37","3,696","4,221","          0.88","7,906","3,340","          2.37","3,694","4,212","          0.88","7,913","3,353","          2.36","3,692","4,221","          0.87","7,883","3,342","          2.36","3,673","4,210","          0.87","7,845","3,341","          2.35","3,647","4,198","          0.87","7,826","3,336","          2.35","3,642","4,184","          0.87","7,806","3,332","          2.34","3,631","4,175","          0.87","7,811","3,348","          2.33","3,632","4,179","          0.87","7,787","3,352","          2.32","3,621","4,166","          0.87","7,749","3,339","          2.32","3,596","4,153","          0.87","7,723","3,332","          2.32","3,585","4,138","          0.87","7,701","3,328","          2.31","3,579","4,122","          0.87","7,683","3,335","          2.30","3,575","4,108","          0.87","7,649","3,333","          2.29","3,558","4,091","          0.87","7,655","3,334","          2.30","3,555","4,100","          0.87","7,679","3,344","          2.30","3,553","4,126","          0.86","7,648","3,335","          2.29","3,543","4,105","          0.86","7,622","3,334","          2.29","3,517","4,105","          0.86","7,614","3,335","          2.28","3,515","4,099","          0.86","7,559","3,320","          2.28","3,483","4,076","          0.85","7,551","3,316","          2.28","3,478","4,073","          0.85","7,540","3,313","          2.28","3,476","4,064","          0.86","7,553","3,321","          2.27","3,470","4,083","          0.85","7,527","3,327","          2.26","3,463","4,064","          0.85","7,489","3,320","          2.26","3,449","4,040","          0.85","7,473","3,320","          2.25","3,439","4,034","          0.85","7,430","3,307","          2.25","3,411","4,019","          0.85","7,420","3,306","          2.24","3,398","4,022","          0.84","7,364","3,301","          2.23","3,363","4,001","          0.84","7,350","3,297","          2.23","3,347","4,003","          0.84","7,337","3,299","          2.22","3,341","3,996","          0.84","7,325","3,293","          2.22","3,343","3,982","          0.84"
"광주광역시 남구 방림1동(2915552000)","7,568","3,119","          2.43","3,649","3,919","          0.93","7,595","3,130","          2.43","3,660","3,935","          0.93","7,564","3,116","          2.43","3,650","3,914","          0.93","7,556","3,111","          2.43","3,642","3,914","          0.93","7,559","3,116","          2.43","3,633","3,926","          0.93","7,532","3,120","          2.41","3,621","3,911","          0.93","7,541","3,127","          2.41","3,615","3,926","          0.92","7,515","3,120","          2.41","3,602","3,913","          0.92","7,493","3,117","          2.40","3,602","3,891","          0.93","7,480","3,122","          2.40","3,596","3,884","          0.93","7,493","3,130","          2.39","3,598","3,895","          0.92","7,474","3,132","          2.39","3,568","3,906","          0.91","7,464","3,134","          2.38","3,567","3,897","          0.92","7,449","3,131","          2.38","3,553","3,896","          0.91","7,421","3,113","          2.38","3,530","3,891","          0.91","7,381","3,095","          2.38","3,518","3,863","          0.91","7,321","3,077","          2.38","3,471","3,850","          0.90","7,294","3,079","          2.37","3,461","3,833","          0.90","7,276","3,078","          2.36","3,451","3,825","          0.90","7,279","3,078","          2.36","3,457","3,822","          0.90","7,269","3,083","          2.36","3,451","3,818","          0.90","7,253","3,082","          2.35","3,448","3,805","          0.91","7,280","3,093","          2.35","3,463","3,817","          0.91","7,231","3,085","          2.34","3,446","3,785","          0.91","7,230","3,087","          2.34","3,442","3,788","          0.91","7,212","3,088","          2.34","3,436","3,776","          0.91","7,216","3,103","          2.33","3,442","3,774","          0.91","7,178","3,095","          2.32","3,430","3,748","          0.92","7,158","3,088","          2.32","3,418","3,740","          0.91","7,175","3,103","          2.31","3,443","3,732","          0.92","7,160","3,089","          2.32","3,427","3,733","          0.92","7,138","3,089","          2.31","3,421","3,717","          0.92","7,088","3,075","          2.31","3,402","3,686","          0.92","7,068","3,068","          2.30","3,384","3,684","          0.92","7,055","3,071","          2.30","3,375","3,680","          0.92","7,031","3,084","          2.28","3,348","3,683","          0.91"
"광주광역시 남구 방림2동(2915553000)","10,310","4,282","          2.41","4,908","5,402","          0.91","10,291","4,279","          2.41","4,897","5,394","          0.91","10,235","4,263","          2.40","4,873","5,362","          0.91","10,178","4,255","          2.39","4,856","5,322","          0.91","10,138","4,247","          2.39","4,839","5,299","          0.91","10,104","4,239","          2.38","4,810","5,294","          0.91","10,068","4,233","          2.38","4,795","5,273","          0.91","10,022","4,224","          2.37","4,773","5,249","          0.91","9,983","4,211","          2.37","4,755","5,228","          0.91","9,940","4,205","          2.36","4,739","5,201","          0.91","9,857","4,173","          2.36","4,688","5,169","          0.91","9,783","4,149","          2.36","4,658","5,125","          0.91","9,730","4,129","          2.36","4,623","5,107","          0.91","9,632","4,100","          2.35","4,583","5,049","          0.91","9,564","4,077","          2.35","4,566","4,998","          0.91","9,544","4,084","          2.34","4,546","4,998","          0.91","9,537","4,093","          2.33","4,544","4,993","          0.91","9,532","4,097","          2.33","4,532","5,000","          0.91","9,480","4,088","          2.32","4,511","4,969","          0.91","9,484","4,085","          2.32","4,507","4,977","          0.91","9,468","4,086","          2.32","4,491","4,977","          0.90","9,448","4,083","          2.31","4,483","4,965","          0.90","9,408","4,075","          2.31","4,460","4,948","          0.90","9,390","4,082","          2.30","4,449","4,941","          0.90","9,359","4,076","          2.30","4,434","4,925","          0.90","9,347","4,075","          2.29","4,431","4,916","          0.90","9,354","4,083","          2.29","4,442","4,912","          0.90","9,363","4,098","          2.28","4,448","4,915","          0.90","9,315","4,101","          2.27","4,426","4,889","          0.91","9,297","4,109","          2.26","4,409","4,888","          0.90","9,275","4,100","          2.26","4,400","4,875","          0.90","9,258","4,102","          2.26","4,370","4,888","          0.89","9,238","4,098","          2.25","4,362","4,876","          0.89","9,240","4,115","          2.25","4,357","4,883","          0.89","9,193","4,103","          2.24","4,338","4,855","          0.89","9,156","4,116","          2.22","4,309","4,847","          0.89"
"광주광역시 남구 봉선1동(2915553700)","16,095","6,928","          2.32","7,689","8,406","          0.91","16,057","6,924","          2.32","7,674","8,383","          0.92","16,022","6,920","          2.32","7,640","8,382","          0.91","16,032","6,937","          2.31","7,634","8,398","          0.91","16,039","6,947","          2.31","7,626","8,413","          0.91","16,053","6,951","          2.31","7,626","8,427","          0.90","15,987","6,937","          2.30","7,592","8,395","          0.90","15,979","6,953","          2.30","7,590","8,389","          0.90","15,952","6,970","          2.29","7,570","8,382","          0.90","15,926","6,978","          2.28","7,548","8,378","          0.90","15,861","6,985","          2.27","7,532","8,329","          0.90","15,819","6,985","          2.26","7,505","8,314","          0.90","15,784","6,991","          2.26","7,472","8,312","          0.90","15,763","6,992","          2.25","7,462","8,301","          0.90","15,720","6,976","          2.25","7,449","8,271","          0.90","15,613","6,956","          2.24","7,406","8,207","          0.90","15,553","6,957","          2.24","7,377","8,176","          0.90","15,467","6,941","          2.23","7,332","8,135","          0.90","15,296","6,905","          2.22","7,262","8,034","          0.90","15,244","6,909","          2.21","7,237","8,007","          0.90","15,215","6,902","          2.20","7,217","7,998","          0.90","15,152","6,898","          2.20","7,195","7,957","          0.90","15,045","6,872","          2.19","7,156","7,889","          0.91","15,005","6,870","          2.18","7,121","7,884","          0.90","14,997","6,869","          2.18","7,109","7,888","          0.90","14,970","6,872","          2.18","7,087","7,883","          0.90","14,870","6,850","          2.17","7,036","7,834","          0.90","14,826","6,856","          2.16","7,008","7,818","          0.90","14,611","6,788","          2.15","6,887","7,724","          0.89","14,427","6,712","          2.15","6,796","7,631","          0.89","14,280","6,679","          2.14","6,739","7,541","          0.89","14,233","6,682","          2.13","6,709","7,524","          0.89","14,214","6,694","          2.12","6,698","7,516","          0.89","14,152","6,685","          2.12","6,665","7,487","          0.89","14,109","6,694","          2.11","6,639","7,470","          0.89","14,041","6,696","          2.10","6,619","7,422","          0.89"
"광주광역시 남구 봉선2동(2915553800)","30,292","9,728","          3.11","14,260","16,032","          0.89","30,384","9,766","          3.11","14,313","16,071","          0.89","30,317","9,756","          3.11","14,288","16,029","          0.89","30,304","9,763","          3.10","14,301","16,003","          0.89","30,213","9,760","          3.10","14,267","15,946","          0.89","30,193","9,759","          3.09","14,259","15,934","          0.89","30,161","9,767","          3.09","14,243","15,918","          0.89","30,180","9,779","          3.09","14,229","15,951","          0.89","30,176","9,801","          3.08","14,214","15,962","          0.89","30,167","9,802","          3.08","14,222","15,945","          0.89","30,167","9,804","          3.08","14,206","15,961","          0.89","30,111","9,803","          3.07","14,197","15,914","          0.89","30,178","9,819","          3.07","14,233","15,945","          0.89","30,104","9,818","          3.07","14,182","15,922","          0.89","30,058","9,829","          3.06","14,144","15,914","          0.89","29,994","9,836","          3.05","14,124","15,870","          0.89","29,917","9,841","          3.04","14,080","15,837","          0.89","29,823","9,838","          3.03","14,030","15,793","          0.89","29,615","9,782","          3.03","13,946","15,669","          0.89","29,553","9,766","          3.03","13,902","15,651","          0.89","29,467","9,767","          3.02","13,849","15,618","          0.89","29,505","9,792","          3.01","13,848","15,657","          0.88","29,536","9,804","          3.01","13,864","15,672","          0.88","29,529","9,822","          3.01","13,862","15,667","          0.88","29,598","9,850","          3.00","13,894","15,704","          0.88","29,712","9,895","          3.00","13,947","15,765","          0.88","29,705","9,914","          3.00","13,946","15,759","          0.88","29,623","9,941","          2.98","13,896","15,727","          0.88","29,515","9,948","          2.97","13,839","15,676","          0.88","29,457","9,950","          2.96","13,826","15,631","          0.88","29,455","9,951","          2.96","13,811","15,644","          0.88","29,414","9,956","          2.95","13,792","15,622","          0.88","29,391","9,958","          2.95","13,787","15,604","          0.88","29,402","9,972","          2.95","13,802","15,600","          0.88","29,314","9,967","          2.94","13,760","15,554","          0.88","29,218","9,954","          2.94","13,724","15,494","          0.89"
"광주광역시 남구 사직동(2915554500)","5,876","3,141","          1.87","3,005","2,871","          1.05","5,895","3,143","          1.88","3,013","2,882","          1.05","5,887","3,139","          1.88","2,999","2,888","          1.04","5,865","3,129","          1.87","2,987","2,878","          1.04","5,878","3,127","          1.88","2,994","2,884","          1.04","5,897","3,142","          1.88","3,010","2,887","          1.04","5,871","3,130","          1.88","2,996","2,875","          1.04","5,889","3,141","          1.87","2,995","2,894","          1.03","5,867","3,138","          1.87","2,985","2,882","          1.04","5,894","3,154","          1.87","2,990","2,904","          1.03","5,913","3,168","          1.87","2,998","2,915","          1.03","5,894","3,159","          1.87","2,991","2,903","          1.03","5,874","3,168","          1.85","2,981","2,893","          1.03","5,846","3,152","          1.85","2,972","2,874","          1.03","5,774","3,126","          1.85","2,933","2,841","          1.03","5,739","3,105","          1.85","2,908","2,831","          1.03","5,712","3,098","          1.84","2,897","2,815","          1.03","5,696","3,094","          1.84","2,890","2,806","          1.03","5,661","3,071","          1.84","2,878","2,783","          1.03","5,650","3,071","          1.84","2,874","2,776","          1.04","5,657","3,073","          1.84","2,882","2,775","          1.04","5,634","3,073","          1.83","2,876","2,758","          1.04","5,638","3,083","          1.83","2,880","2,758","          1.04","5,604","3,077","          1.82","2,861","2,743","          1.04","5,570","3,064","          1.82","2,840","2,730","          1.04","5,566","3,081","          1.81","2,841","2,725","          1.04","5,551","3,078","          1.80","2,838","2,713","          1.05","5,545","3,079","          1.80","2,830","2,715","          1.04","5,528","3,085","          1.79","2,824","2,704","          1.04","5,520","3,085","          1.79","2,824","2,696","          1.05","5,532","3,087","          1.79","2,830","2,702","          1.05","5,501","3,076","          1.79","2,813","2,688","          1.05","5,470","3,068","          1.78","2,801","2,669","          1.05","5,435","3,056","          1.78","2,784","2,651","          1.05","5,417","3,049","          1.78","2,767","2,650","          1.04","5,418","3,058","          1.77","2,769","2,649","          1.05"
"광주광역시 남구 월산동(2915560500)","9,619","4,957","          1.94","4,949","4,670","          1.06","9,583","4,943","          1.94","4,930","4,653","          1.06","9,495","4,885","          1.94","4,871","4,624","          1.05","9,384","4,836","          1.94","4,822","4,562","          1.06","9,317","4,796","          1.94","4,778","4,539","          1.05","9,241","4,752","          1.94","4,737","4,504","          1.05","9,165","4,731","          1.94","4,699","4,466","          1.05","9,117","4,717","          1.93","4,676","4,441","          1.05","9,064","4,688","          1.93","4,648","4,416","          1.05","9,018","4,663","          1.93","4,618","4,400","          1.05","8,917","4,625","          1.93","4,569","4,348","          1.05","8,793","4,552","          1.93","4,486","4,307","          1.04","8,662","4,487","          1.93","4,418","4,244","          1.04","8,556","4,427","          1.93","4,365","4,191","          1.04","8,479","4,386","          1.93","4,334","4,145","          1.05","8,389","4,334","          1.94","4,294","4,095","          1.05","8,283","4,285","          1.93","4,246","4,037","          1.05","8,238","4,257","          1.94","4,222","4,016","          1.05","8,185","4,241","          1.93","4,192","3,993","          1.05","8,123","4,220","          1.92","4,169","3,954","          1.05","8,083","4,207","          1.92","4,146","3,937","          1.05","8,029","4,184","          1.92","4,114","3,915","          1.05","7,976","4,169","          1.91","4,082","3,894","          1.05","7,938","4,161","          1.91","4,063","3,875","          1.05","7,909","4,155","          1.90","4,052","3,857","          1.05","7,854","4,140","          1.90","4,027","3,827","          1.05","7,837","4,128","          1.90","4,011","3,826","          1.05","7,842","4,137","          1.90","4,010","3,832","          1.05","7,825","4,148","          1.89","3,988","3,837","          1.04","7,759","4,118","          1.88","3,951","3,808","          1.04","7,753","4,119","          1.88","3,960","3,793","          1.04","7,708","4,100","          1.88","3,946","3,762","          1.05","7,629","4,066","          1.88","3,909","3,720","          1.05","7,605","4,076","          1.87","3,902","3,703","          1.05","7,549","4,058","          1.86","3,870","3,679","          1.05","7,488","4,043","          1.85","3,836","3,652","          1.05"
"광주광역시 남구 월산4동(2915563000)","9,627","4,661","          2.07","4,944","4,683","          1.06","9,580","4,637","          2.07","4,916","4,664","          1.05","9,557","4,634","          2.06","4,892","4,665","          1.05","9,532","4,634","          2.06","4,882","4,650","          1.05","9,535","4,639","          2.06","4,890","4,645","          1.05","9,500","4,638","          2.05","4,871","4,629","          1.05","9,476","4,626","          2.05","4,847","4,629","          1.05","9,486","4,650","          2.04","4,857","4,629","          1.05","9,474","4,666","          2.03","4,856","4,618","          1.05","9,466","4,678","          2.02","4,834","4,632","          1.04","9,434","4,694","          2.01","4,821","4,613","          1.05","9,399","4,696","          2.00","4,800","4,599","          1.04","9,392","4,718","          1.99","4,802","4,590","          1.05","9,357","4,728","          1.98","4,788","4,569","          1.05","9,349","4,741","          1.97","4,781","4,568","          1.05","9,319","4,744","          1.96","4,769","4,550","          1.05","9,322","4,764","          1.96","4,779","4,543","          1.05","9,311","4,764","          1.95","4,768","4,543","          1.05","9,278","4,758","          1.95","4,747","4,531","          1.05","9,246","4,756","          1.94","4,740","4,506","          1.05","9,225","4,763","          1.94","4,733","4,492","          1.05","9,205","4,760","          1.93","4,712","4,493","          1.05","9,179","4,763","          1.93","4,699","4,480","          1.05","9,107","4,755","          1.92","4,668","4,439","          1.05","9,084","4,761","          1.91","4,649","4,435","          1.05","9,112","4,766","          1.91","4,658","4,454","          1.05","9,078","4,749","          1.91","4,649","4,429","          1.05","9,095","4,776","          1.90","4,646","4,449","          1.04","9,062","4,781","          1.90","4,634","4,428","          1.05","9,018","4,769","          1.89","4,606","4,412","          1.04","8,993","4,775","          1.88","4,590","4,403","          1.04","8,966","4,788","          1.87","4,581","4,385","          1.04","8,934","4,790","          1.87","4,574","4,360","          1.05","8,893","4,789","          1.86","4,561","4,332","          1.05","8,856","4,784","          1.85","4,543","4,313","          1.05","8,850","4,792","          1.85","4,529","4,321","          1.05"
"광주광역시 남구 월산5동(2915564000)","7,214","3,466","          2.08","3,619","3,595","          1.01","7,181","3,471","          2.07","3,612","3,569","          1.01","7,181","3,477","          2.07","3,613","3,568","          1.01","7,131","3,450","          2.07","3,588","3,543","          1.01","7,116","3,453","          2.06","3,572","3,544","          1.01","7,119","3,464","          2.06","3,569","3,550","          1.01","7,100","3,468","          2.05","3,559","3,541","          1.01","7,114","3,472","          2.05","3,559","3,555","          1.00","7,105","3,473","          2.05","3,560","3,545","          1.00","7,080","3,481","          2.03","3,547","3,533","          1.00","7,056","3,484","          2.03","3,530","3,526","          1.00","7,018","3,483","          2.01","3,523","3,495","          1.01","7,004","3,485","          2.01","3,502","3,502","          1.00","7,000","3,483","          2.01","3,517","3,483","          1.01","6,965","3,477","          2.00","3,489","3,476","          1.00","6,961","3,475","          2.00","3,488","3,473","          1.00","6,933","3,462","          2.00","3,469","3,464","          1.00","6,937","3,471","          2.00","3,466","3,471","          1.00","6,917","3,469","          1.99","3,449","3,468","          0.99","6,911","3,481","          1.99","3,445","3,466","          0.99","6,882","3,472","          1.98","3,442","3,440","          1.00","6,837","3,468","          1.97","3,413","3,424","          1.00","6,808","3,464","          1.97","3,399","3,409","          1.00","6,789","3,467","          1.96","3,386","3,403","          1.00","6,787","3,471","          1.96","3,386","3,401","          1.00","6,766","3,478","          1.95","3,391","3,375","          1.00","6,746","3,479","          1.94","3,373","3,373","          1.00","6,737","3,494","          1.93","3,369","3,368","          1.00","6,708","3,487","          1.92","3,356","3,352","          1.00","6,697","3,496","          1.92","3,357","3,340","          1.01","6,655","3,490","          1.91","3,338","3,317","          1.01","6,654","3,501","          1.90","3,330","3,324","          1.00","6,634","3,514","          1.89","3,325","3,309","          1.00","6,585","3,504","          1.88","3,314","3,271","          1.01","6,576","3,509","          1.87","3,307","3,269","          1.01","6,555","3,505","          1.87","3,288","3,267","          1.01"
