"행정구역","2021년01월_총인구수","2021년01월_세대수","2021년01월_세대당 인구","2021년01월_남자 인구수","2021년01월_여자 인구수","2021년01월_남여 비율","2021년02월_총인구수","2021년02월_세대수","2021년02월_세대당 인구","2021년02월_남자 인구수","2021년02월_여자 인구수","2021년02월_남여 비율","2021년03월_총인구수","2021년03월_세대수","2021년03월_세대당 인구","2021년03월_남자 인구수","2021년03월_여자 인구수","2021년03월_남여 비율","2021년04월_총인구수","2021년04월_세대수","2021년04월_세대당 인구","2021년04월_남자 인구수","2021년04월_여자 인구수","2021년04월_남여 비율","2021년05월_총인구수","2021년05월_세대수","2021년05월_세대당 인구","2021년05월_남자 인구수","2021년05월_여자 인구수","2021년05월_남여 비율","2021년06월_총인구수","2021년06월_세대수","2021년06월_세대당 인구","2021년06월_남자 인구수","2021년06월_여자 인구수","2021년06월_남여 비율","2021년07월_총인구수","2021년07월_세대수","2021년07월_세대당 인구","2021년07월_남자 인구수","2021년07월_여자 인구수","2021년07월_남여 비율","2021년08월_총인구수","2021년08월_세대수","2021년08월_세대당 인구","2021년08월_남자 인구수","2021년08월_여자 인구수","2021년08월_남여 비율","2021년09월_총인구수","2021년09월_세대수","2021년09월_세대당 인구","2021년09월_남자 인구수","2021년09월_여자 인구수","2021년09월_남여 비율","2021년10월_총인구수","2021년10월_세대수","2021년10월_세대당 인구","2021년10월_남자 인구수","2021년10월_여자 인구수","2021년10월_남여 비율","2021년11월_총인구수","2021년11월_세대수","2021년11월_세대당 인구","2021년11월_남자 인구수","2021년11월_여자 인구수","2021년11월_남여 비율","2021년12월_총인구수","2021년12월_세대수","2021년12월_세대당 인구","2021년12월_남자 인구수","2021년12월_여자 인구수","2021년12월_남여 비율","2022년01월_총인구수","2022년01월_세대수","2022년01월_세대당 인구","2022년01월_남자 인구수","2022년01월_여자 인구수","2022년01월_남여 비율","2022년02월_총인구수","2022년02월_세대수","2022년02월_세대당 인구","2022년02월_남자 인구수","2022년02월_여자 인구수","2022년02월_남여 비율","2022년03월_총인구수","2022년03월_세대수","2022년03월_세대당 인구","2022년03월_남자 인구수","2022년03월_여자 인구수","2022년03월_남여 비율","2022년04월_총인구수","2022년04월_세대수","2022년04월_세대당 인구","2022년04월_남자 인구수","2022년04월_여자 인구수","2022년04월_남여 비율","2022년05월_총인구수","2022년05월_세대수","2022년05월_세대당 인구","2022년05월_남자 인구수","2022년05월_여자 인구수","2022년05월_남여 비율","2022년06월_총인구수","2022년06월_세대수","2022년06월_세대당 인구","2022년06월_남자 인구수","2022년06월_여자 인구수","2022년06월_남여 비율","2022년07월_총인구수","2022년07월_세대수","2022년07월_세대당 인구","2022년07월_남자 인구수","2022년07월_여자 인구수","2022년07월_남여 비율","2022년08월_총인구수","2022년08월_세대수","2022년08월_세대당 인구","2022년08월_남자 인구수","2022년08월_여자 인구수","2022년08월_남여 비율","2022년09월_총인구수","2022년09월_세대수","2022년09월_세대당 인구","2022년09월_남자 인구수","2022년09월_여자 인구수","2022년09월_남여 비율","2022년10월_총인구수","2022년10월_세대수","2022년10월_세대당 인구","2022년10월_남자 인구수","2022년10월_여자 인구수","2022년10월_남여 비율","2022년11월_총인구수","2022년11월_세대수","2022년11월_세대당 인구","2022년11월_남자 인구수","2022년11월_여자 인구수","2022년11월_남여 비율","2022년12월_총인구수","2022년12월_세대수","2022년12월_세대당 인구","2022년12월_남자 인구수","2022년12월_여자 인구수","2022년12월_남여 비율","2023년01월_총인구수","2023년01월_세대수","2023년01월_세대당 인구","2023년01월_남자 인구수","2023년01월_여자 인구수","2023년01월_남여 비율","2023년02월_총인구수","2023년02월_세대수","2023년02월_세대당 인구","2023년02월_남자 인구수","2023년02월_여자 인구수","2023년02월_남여 비율","2023년03월_총인구수","2023년03월_세대수","2023년03월_세대당 인구","2023년03월_남자 인구수","2023년03월_여자 인구수","2023년03월_남여 비율"
"광주광역시 광산구 (2920000000)","405,154","166,076","          2.44","204,154","201,000","          1.02","405,052","166,434","          2.43","204,091","200,961","          1.02","404,939","166,759","          2.43","204,128","200,811","          1.02","404,863","167,022","          2.42","204,048","200,815","          1.02","404,804","167,193","          2.42","203,996","200,808","          1.02","404,645","167,393","          2.42","203,914","200,731","          1.02","404,422","167,499","          2.41","203,759","200,663","          1.02","404,413","167,899","          2.41","203,743","200,670","          1.02","404,726","168,359","          2.40","203,928","200,798","          1.02","404,579","168,636","          2.40","203,871","200,708","          1.02","404,341","168,857","          2.39","203,768","200,573","          1.02","404,221","169,125","          2.39","203,707","200,514","          1.02","404,319","169,402","          2.39","203,780","200,539","          1.02","403,590","169,556","          2.38","203,470","200,120","          1.02","403,407","169,837","          2.38","203,357","200,050","          1.02","402,998","169,928","          2.37","203,195","199,803","          1.02","402,793","170,151","          2.37","203,034","199,759","          1.02","402,698","170,329","          2.36","203,048","199,650","          1.02","402,513","170,513","          2.36","202,947","199,566","          1.02","402,034","170,702","          2.36","202,619","199,415","          1.02","401,729","170,805","          2.35","202,474","199,255","          1.02","401,334","170,834","          2.35","202,289","199,045","          1.02","400,895","170,774","          2.35","202,070","198,825","          1.02","400,654","170,776","          2.35","201,971","198,683","          1.02","400,228","170,795","          2.34","201,818","198,410","          1.02","399,669","170,895","          2.34","201,554","198,115","          1.02","399,149","171,017","          2.33","201,357","197,792","          1.02"
"광주광역시 광산구 송정1동(2920051500)","11,140","4,901","          2.27","5,621","5,519","          1.02","11,082","4,890","          2.27","5,593","5,489","          1.02","11,047","4,882","          2.26","5,583","5,464","          1.02","11,039","4,886","          2.26","5,579","5,460","          1.02","11,019","4,881","          2.26","5,574","5,445","          1.02","11,002","4,893","          2.25","5,578","5,424","          1.03","10,991","4,901","          2.24","5,576","5,415","          1.03","10,937","4,883","          2.24","5,547","5,390","          1.03","10,935","4,892","          2.24","5,542","5,393","          1.03","10,894","4,884","          2.23","5,531","5,363","          1.03","10,871","4,889","          2.22","5,522","5,349","          1.03","10,863","4,879","          2.23","5,517","5,346","          1.03","10,891","4,892","          2.23","5,531","5,360","          1.03","10,911","4,908","          2.22","5,543","5,368","          1.03","10,895","4,908","          2.22","5,531","5,364","          1.03","10,867","4,900","          2.22","5,518","5,349","          1.03","10,838","4,891","          2.22","5,510","5,328","          1.03","10,781","4,869","          2.21","5,484","5,297","          1.04","10,763","4,873","          2.21","5,472","5,291","          1.03","10,733","4,868","          2.20","5,455","5,278","          1.03","10,622","4,806","          2.21","5,412","5,210","          1.04","10,603","4,806","          2.21","5,400","5,203","          1.04","10,589","4,796","          2.21","5,394","5,195","          1.04","10,574","4,801","          2.20","5,383","5,191","          1.04","10,556","4,792","          2.20","5,377","5,179","          1.04","10,538","4,789","          2.20","5,363","5,175","          1.04","10,529","4,804","          2.19","5,355","5,174","          1.03"
"광주광역시 광산구 송정2동(2920052500)","6,615","3,430","          1.93","3,334","3,281","          1.02","6,597","3,433","          1.92","3,322","3,275","          1.01","6,598","3,431","          1.92","3,316","3,282","          1.01","6,583","3,425","          1.92","3,312","3,271","          1.01","6,569","3,442","          1.91","3,314","3,255","          1.02","6,579","3,459","          1.90","3,309","3,270","          1.01","6,628","3,482","          1.90","3,331","3,297","          1.01","6,626","3,494","          1.90","3,324","3,302","          1.01","6,592","3,490","          1.89","3,288","3,304","          1.00","6,578","3,496","          1.88","3,286","3,292","          1.00","6,574","3,485","          1.89","3,276","3,298","          0.99","6,558","3,483","          1.88","3,267","3,291","          0.99","6,561","3,493","          1.88","3,273","3,288","          1.00","6,524","3,485","          1.87","3,253","3,271","          0.99","6,495","3,482","          1.87","3,234","3,261","          0.99","6,510","3,493","          1.86","3,242","3,268","          0.99","6,500","3,496","          1.86","3,225","3,275","          0.98","6,483","3,497","          1.85","3,215","3,268","          0.98","6,476","3,500","          1.85","3,207","3,269","          0.98","6,430","3,490","          1.84","3,177","3,253","          0.98","6,348","3,434","          1.85","3,145","3,203","          0.98","6,377","3,442","          1.85","3,165","3,212","          0.99","6,360","3,436","          1.85","3,153","3,207","          0.98","6,364","3,439","          1.85","3,148","3,216","          0.98","6,368","3,443","          1.85","3,146","3,222","          0.98","6,334","3,440","          1.84","3,125","3,209","          0.97","6,319","3,435","          1.84","3,121","3,198","          0.98"
"광주광역시 광산구 도산동(2920054000)","15,709","6,694","          2.35","7,926","7,783","          1.02","15,665","6,693","          2.34","7,893","7,772","          1.02","15,590","6,678","          2.33","7,858","7,732","          1.02","15,516","6,666","          2.33","7,839","7,677","          1.02","15,447","6,625","          2.33","7,801","7,646","          1.02","15,409","6,628","          2.32","7,779","7,630","          1.02","15,371","6,626","          2.32","7,759","7,612","          1.02","15,375","6,661","          2.31","7,760","7,615","          1.02","15,379","6,664","          2.31","7,766","7,613","          1.02","15,327","6,669","          2.30","7,741","7,586","          1.02","15,329","6,679","          2.30","7,747","7,582","          1.02","15,279","6,682","          2.29","7,720","7,559","          1.02","15,294","6,697","          2.28","7,724","7,570","          1.02","15,260","6,705","          2.28","7,699","7,561","          1.02","15,234","6,692","          2.28","7,671","7,563","          1.01","15,178","6,680","          2.27","7,639","7,539","          1.01","15,137","6,686","          2.26","7,617","7,520","          1.01","15,120","6,680","          2.26","7,611","7,509","          1.01","15,063","6,671","          2.26","7,581","7,482","          1.01","14,996","6,651","          2.25","7,553","7,443","          1.01","14,981","6,668","          2.25","7,543","7,438","          1.01","14,915","6,642","          2.25","7,521","7,394","          1.02","14,877","6,624","          2.25","7,500","7,377","          1.02","14,860","6,629","          2.24","7,501","7,359","          1.02","14,820","6,619","          2.24","7,497","7,323","          1.02","14,792","6,630","          2.23","7,487","7,305","          1.02","14,772","6,640","          2.22","7,481","7,291","          1.03"
"광주광역시 광산구 신흥동(2920055000)","4,702","2,062","          2.28","2,378","2,324","          1.02","4,708","2,071","          2.27","2,375","2,333","          1.02","4,670","2,043","          2.29","2,362","2,308","          1.02","4,663","2,052","          2.27","2,355","2,308","          1.02","4,666","2,059","          2.27","2,357","2,309","          1.02","4,639","2,061","          2.25","2,348","2,291","          1.02","4,627","2,065","          2.24","2,342","2,285","          1.02","4,618","2,068","          2.23","2,343","2,275","          1.03","4,598","2,048","          2.25","2,335","2,263","          1.03","4,594","2,052","          2.24","2,330","2,264","          1.03","4,605","2,056","          2.24","2,330","2,275","          1.02","4,594","2,056","          2.23","2,327","2,267","          1.03","4,591","2,055","          2.23","2,319","2,272","          1.02","4,567","2,048","          2.23","2,310","2,257","          1.02","4,554","2,052","          2.22","2,308","2,246","          1.03","4,535","2,039","          2.22","2,301","2,234","          1.03","4,515","2,037","          2.22","2,295","2,220","          1.03","4,510","2,037","          2.21","2,297","2,213","          1.04","4,511","2,045","          2.21","2,287","2,224","          1.03","4,484","2,036","          2.20","2,278","2,206","          1.03","4,471","2,033","          2.20","2,271","2,200","          1.03","4,458","2,033","          2.19","2,264","2,194","          1.03","4,446","2,031","          2.19","2,255","2,191","          1.03","4,441","2,022","          2.20","2,253","2,188","          1.03","4,413","2,010","          2.20","2,241","2,172","          1.03","4,428","2,018","          2.19","2,243","2,185","          1.03","4,407","2,014","          2.19","2,234","2,173","          1.03"
"광주광역시 광산구 어룡동(2920056500)","32,923","13,727","          2.40","16,823","16,100","          1.04","32,884","13,714","          2.40","16,817","16,067","          1.05","32,869","13,739","          2.39","16,807","16,062","          1.05","32,884","13,778","          2.39","16,802","16,082","          1.04","32,894","13,815","          2.38","16,825","16,069","          1.05","32,918","13,834","          2.38","16,815","16,103","          1.04","32,895","13,839","          2.38","16,808","16,087","          1.04","32,885","13,845","          2.38","16,776","16,109","          1.04","32,882","13,861","          2.37","16,800","16,082","          1.04","32,915","13,904","          2.37","16,827","16,088","          1.05","33,028","13,975","          2.36","16,888","16,140","          1.05","33,035","14,009","          2.36","16,891","16,144","          1.05","33,055","14,031","          2.36","16,899","16,156","          1.05","32,981","14,023","          2.35","16,900","16,081","          1.05","32,876","14,006","          2.35","16,862","16,014","          1.05","32,831","13,990","          2.35","16,825","16,006","          1.05","32,778","14,009","          2.34","16,794","15,984","          1.05","32,735","13,999","          2.34","16,762","15,973","          1.05","32,745","14,011","          2.34","16,765","15,980","          1.05","32,689","14,022","          2.33","16,732","15,957","          1.05","33,023","14,160","          2.33","16,892","16,131","          1.05","33,197","14,223","          2.33","16,995","16,202","          1.05","33,233","14,257","          2.33","17,023","16,210","          1.05","33,280","14,279","          2.33","17,045","16,235","          1.05","33,277","14,302","          2.33","17,042","16,235","          1.05","33,270","14,315","          2.32","17,058","16,212","          1.05","33,272","14,329","          2.32","17,047","16,225","          1.05"
"광주광역시 광산구 우산동(2920058000)","27,847","14,132","          1.97","14,163","13,684","          1.04","28,103","14,273","          1.97","14,282","13,821","          1.03","28,235","14,360","          1.97","14,356","13,879","          1.03","28,460","14,466","          1.97","14,479","13,981","          1.04","28,758","14,579","          1.97","14,616","14,142","          1.03","28,995","14,669","          1.98","14,746","14,249","          1.03","29,023","14,684","          1.98","14,754","14,269","          1.03","29,050","14,721","          1.97","14,764","14,286","          1.03","29,026","14,718","          1.97","14,751","14,275","          1.03","29,042","14,720","          1.97","14,750","14,292","          1.03","28,973","14,709","          1.97","14,717","14,256","          1.03","28,905","14,708","          1.97","14,684","14,221","          1.03","28,926","14,696","          1.97","14,684","14,242","          1.03","28,892","14,695","          1.97","14,661","14,231","          1.03","29,478","14,936","          1.97","14,958","14,520","          1.03","29,643","15,032","          1.97","15,052","14,591","          1.03","29,692","15,083","          1.97","15,074","14,618","          1.03","29,684","15,075","          1.97","15,073","14,611","          1.03","29,683","15,091","          1.97","15,083","14,600","          1.03","29,678","15,080","          1.97","15,063","14,615","          1.03","29,654","15,074","          1.97","15,054","14,600","          1.03","29,629","15,072","          1.97","15,078","14,551","          1.04","29,636","15,079","          1.97","15,090","14,546","          1.04","29,603","15,064","          1.97","15,081","14,522","          1.04","29,499","15,033","          1.96","15,017","14,482","          1.04","29,408","14,990","          1.96","14,968","14,440","          1.04","29,408","14,985","          1.96","14,963","14,445","          1.04"
"광주광역시 광산구 월곡1동(2920060000)","11,304","5,017","          2.25","5,722","5,582","          1.03","11,270","5,020","          2.25","5,699","5,571","          1.02","11,178","4,981","          2.24","5,642","5,536","          1.02","11,121","4,973","          2.24","5,606","5,515","          1.02","11,076","4,971","          2.23","5,580","5,496","          1.02","11,025","4,956","          2.22","5,565","5,460","          1.02","11,016","4,960","          2.22","5,568","5,448","          1.02","11,009","4,971","          2.21","5,574","5,435","          1.03","10,949","4,965","          2.21","5,548","5,401","          1.03","10,909","4,959","          2.20","5,529","5,380","          1.03","10,873","4,950","          2.20","5,532","5,341","          1.04","10,884","4,962","          2.19","5,532","5,352","          1.03","10,874","4,962","          2.19","5,516","5,358","          1.03","10,817","4,941","          2.19","5,485","5,332","          1.03","10,787","4,943","          2.18","5,471","5,316","          1.03","10,708","4,912","          2.18","5,441","5,267","          1.03","10,675","4,897","          2.18","5,434","5,241","          1.04","10,606","4,889","          2.17","5,402","5,204","          1.04","10,554","4,877","          2.16","5,382","5,172","          1.04","10,509","4,875","          2.16","5,364","5,145","          1.04","10,466","4,857","          2.15","5,335","5,131","          1.04","10,428","4,852","          2.15","5,306","5,122","          1.04","10,380","4,825","          2.15","5,274","5,106","          1.03","10,324","4,799","          2.15","5,243","5,081","          1.03","10,292","4,799","          2.14","5,233","5,059","          1.03","10,277","4,786","          2.15","5,229","5,048","          1.04","10,208","4,767","          2.14","5,190","5,018","          1.03"
"광주광역시 광산구 월곡2동(2920061000)","16,198","6,708","          2.41","8,227","7,971","          1.03","16,114","6,699","          2.41","8,189","7,925","          1.03","16,052","6,691","          2.40","8,143","7,909","          1.03","16,017","6,693","          2.39","8,108","7,909","          1.03","15,969","6,684","          2.39","8,067","7,902","          1.02","15,947","6,690","          2.38","8,058","7,889","          1.02","15,917","6,686","          2.38","8,032","7,885","          1.02","15,863","6,686","          2.37","8,003","7,860","          1.02","15,793","6,675","          2.37","7,971","7,822","          1.02","15,732","6,673","          2.36","7,933","7,799","          1.02","15,663","6,657","          2.35","7,891","7,772","          1.02","15,594","6,644","          2.35","7,857","7,737","          1.02","15,560","6,617","          2.35","7,843","7,717","          1.02","15,533","6,624","          2.34","7,813","7,720","          1.01","15,468","6,599","          2.34","7,778","7,690","          1.01","15,444","6,599","          2.34","7,763","7,681","          1.01","15,378","6,585","          2.34","7,726","7,652","          1.01","15,313","6,558","          2.34","7,701","7,612","          1.01","15,295","6,559","          2.33","7,683","7,612","          1.01","15,227","6,533","          2.33","7,645","7,582","          1.01","15,149","6,509","          2.33","7,595","7,554","          1.01","15,045","6,465","          2.33","7,538","7,507","          1.00","14,989","6,442","          2.33","7,496","7,493","          1.00","14,950","6,425","          2.33","7,483","7,467","          1.00","14,931","6,409","          2.33","7,480","7,451","          1.00","14,805","6,361","          2.33","7,416","7,389","          1.00","14,742","6,357","          2.32","7,385","7,357","          1.00"
"광주광역시 광산구 비아동(2920062000)","7,305","3,380","          2.16","3,844","3,461","          1.11","7,295","3,374","          2.16","3,847","3,448","          1.12","7,298","3,385","          2.16","3,853","3,445","          1.12","7,271","3,390","          2.14","3,840","3,431","          1.12","7,255","3,378","          2.15","3,829","3,426","          1.12","7,233","3,379","          2.14","3,813","3,420","          1.11","7,236","3,381","          2.14","3,823","3,413","          1.12","7,364","3,429","          2.15","3,896","3,468","          1.12","7,438","3,451","          2.16","3,937","3,501","          1.12","7,473","3,467","          2.16","3,950","3,523","          1.12","7,482","3,472","          2.15","3,961","3,521","          1.12","7,481","3,480","          2.15","3,965","3,516","          1.13","7,516","3,491","          2.15","3,983","3,533","          1.13","7,536","3,498","          2.15","3,987","3,549","          1.12","7,590","3,527","          2.15","4,012","3,578","          1.12","7,591","3,527","          2.15","4,001","3,590","          1.11","7,600","3,541","          2.15","4,004","3,596","          1.11","7,597","3,535","          2.15","4,007","3,590","          1.12","7,601","3,543","          2.15","4,004","3,597","          1.11","7,605","3,550","          2.14","4,002","3,603","          1.11","7,580","3,549","          2.14","3,985","3,595","          1.11","7,554","3,539","          2.13","3,964","3,590","          1.10","7,545","3,532","          2.14","3,954","3,591","          1.10","7,516","3,520","          2.14","3,944","3,572","          1.10","7,496","3,510","          2.14","3,947","3,549","          1.11","7,492","3,514","          2.13","3,944","3,548","          1.11","7,478","3,518","          2.13","3,946","3,532","          1.12"
