"행정구역","2021년01월_총인구수","2021년01월_세대수","2021년01월_세대당 인구","2021년01월_남자 인구수","2021년01월_여자 인구수","2021년01월_남여 비율","2021년02월_총인구수","2021년02월_세대수","2021년02월_세대당 인구","2021년02월_남자 인구수","2021년02월_여자 인구수","2021년02월_남여 비율","2021년03월_총인구수","2021년03월_세대수","2021년03월_세대당 인구","2021년03월_남자 인구수","2021년03월_여자 인구수","2021년03월_남여 비율","2021년04월_총인구수","2021년04월_세대수","2021년04월_세대당 인구","2021년04월_남자 인구수","2021년04월_여자 인구수","2021년04월_남여 비율","2021년05월_총인구수","2021년05월_세대수","2021년05월_세대당 인구","2021년05월_남자 인구수","2021년05월_여자 인구수","2021년05월_남여 비율","2021년06월_총인구수","2021년06월_세대수","2021년06월_세대당 인구","2021년06월_남자 인구수","2021년06월_여자 인구수","2021년06월_남여 비율","2021년07월_총인구수","2021년07월_세대수","2021년07월_세대당 인구","2021년07월_남자 인구수","2021년07월_여자 인구수","2021년07월_남여 비율","2021년08월_총인구수","2021년08월_세대수","2021년08월_세대당 인구","2021년08월_남자 인구수","2021년08월_여자 인구수","2021년08월_남여 비율","2021년09월_총인구수","2021년09월_세대수","2021년09월_세대당 인구","2021년09월_남자 인구수","2021년09월_여자 인구수","2021년09월_남여 비율","2021년10월_총인구수","2021년10월_세대수","2021년10월_세대당 인구","2021년10월_남자 인구수","2021년10월_여자 인구수","2021년10월_남여 비율","2021년11월_총인구수","2021년11월_세대수","2021년11월_세대당 인구","2021년11월_남자 인구수","2021년11월_여자 인구수","2021년11월_남여 비율","2021년12월_총인구수","2021년12월_세대수","2021년12월_세대당 인구","2021년12월_남자 인구수","2021년12월_여자 인구수","2021년12월_남여 비율","2022년01월_총인구수","2022년01월_세대수","2022년01월_세대당 인구","2022년01월_남자 인구수","2022년01월_여자 인구수","2022년01월_남여 비율","2022년02월_총인구수","2022년02월_세대수","2022년02월_세대당 인구","2022년02월_남자 인구수","2022년02월_여자 인구수","2022년02월_남여 비율","2022년03월_총인구수","2022년03월_세대수","2022년03월_세대당 인구","2022년03월_남자 인구수","2022년03월_여자 인구수","2022년03월_남여 비율","2022년04월_총인구수","2022년04월_세대수","2022년04월_세대당 인구","2022년04월_남자 인구수","2022년04월_여자 인구수","2022년04월_남여 비율","2022년05월_총인구수","2022년05월_세대수","2022년05월_세대당 인구","2022년05월_남자 인구수","2022년05월_여자 인구수","2022년05월_남여 비율","2022년06월_총인구수","2022년06월_세대수","2022년06월_세대당 인구","2022년06월_남자 인구수","2022년06월_여자 인구수","2022년06월_남여 비율","2022년07월_총인구수","2022년07월_세대수","2022년07월_세대당 인구","2022년07월_남자 인구수","2022년07월_여자 인구수","2022년07월_남여 비율","2022년08월_총인구수","2022년08월_세대수","2022년08월_세대당 인구","2022년08월_남자 인구수","2022년08월_여자 인구수","2022년08월_남여 비율","2022년09월_총인구수","2022년09월_세대수","2022년09월_세대당 인구","2022년09월_남자 인구수","2022년09월_여자 인구수","2022년09월_남여 비율","2022년10월_총인구수","2022년10월_세대수","2022년10월_세대당 인구","2022년10월_남자 인구수","2022년10월_여자 인구수","2022년10월_남여 비율","2022년11월_총인구수","2022년11월_세대수","2022년11월_세대당 인구","2022년11월_남자 인구수","2022년11월_여자 인구수","2022년11월_남여 비율","2022년12월_총인구수","2022년12월_세대수","2022년12월_세대당 인구","2022년12월_남자 인구수","2022년12월_여자 인구수","2022년12월_남여 비율","2023년01월_총인구수","2023년01월_세대수","2023년01월_세대당 인구","2023년01월_남자 인구수","2023년01월_여자 인구수","2023년01월_남여 비율","2023년02월_총인구수","2023년02월_세대수","2023년02월_세대당 인구","2023년02월_남자 인구수","2023년02월_여자 인구수","2023년02월_남여 비율","2023년03월_총인구수","2023년03월_세대수","2023년03월_세대당 인구","2023년03월_남자 인구수","2023년03월_여자 인구수","2023년03월_남여 비율"
"광주광역시 동구 (2911000000)","102,877","51,058","          2.01","50,789","52,088","          0.98","102,745","51,095","          2.01","50,674","52,071","          0.97","102,467","50,983","          2.01","50,577","51,890","          0.97","102,939","51,274","          2.01","50,783","52,156","          0.97","103,007","51,282","          2.01","50,853","52,154","          0.98","103,146","51,414","          2.01","50,926","52,220","          0.98","103,185","51,550","          2.00","50,938","52,247","          0.97","103,333","51,795","          2.00","50,981","52,352","          0.97","103,544","51,994","          1.99","51,073","52,471","          0.97","103,443","52,059","          1.99","51,016","52,427","          0.97","103,396","52,259","          1.98","51,002","52,394","          0.97","103,470","52,362","          1.98","51,046","52,424","          0.97","103,466","52,436","          1.97","51,014","52,452","          0.97","103,299","52,514","          1.97","50,943","52,356","          0.97","103,081","52,484","          1.96","50,834","52,247","          0.97","102,984","52,481","          1.96","50,780","52,204","          0.97","102,936","52,540","          1.96","50,776","52,160","          0.97","103,233","52,717","          1.96","50,901","52,332","          0.97","103,432","52,868","          1.96","51,019","52,413","          0.97","105,137","53,722","          1.96","51,904","53,233","          0.98","105,688","53,959","          1.96","52,173","53,515","          0.97","105,798","54,006","          1.96","52,235","53,563","          0.98","105,845","54,050","          1.96","52,287","53,558","          0.98","105,909","54,072","          1.96","52,305","53,604","          0.98","105,887","54,094","          1.96","52,295","53,592","          0.98","106,101","54,342","          1.95","52,399","53,702","          0.98","106,247","54,507","          1.95","52,416","53,831","          0.97"
"광주광역시 동구 충장동(2911052500)","4,542","3,336","          1.36","2,307","2,235","          1.03","4,557","3,349","          1.36","2,320","2,237","          1.04","4,526","3,325","          1.36","2,314","2,212","          1.05","4,519","3,325","          1.36","2,309","2,210","          1.04","4,434","3,276","          1.35","2,276","2,158","          1.05","4,422","3,281","          1.35","2,276","2,146","          1.06","4,478","3,331","          1.34","2,296","2,182","          1.05","4,525","3,387","          1.34","2,312","2,213","          1.04","4,572","3,428","          1.33","2,337","2,235","          1.05","4,607","3,464","          1.33","2,355","2,252","          1.05","4,626","3,502","          1.32","2,368","2,258","          1.05","4,642","3,522","          1.32","2,362","2,280","          1.04","4,731","3,622","          1.31","2,399","2,332","          1.03","4,818","3,705","          1.30","2,429","2,389","          1.02","4,859","3,740","          1.30","2,454","2,405","          1.02","4,865","3,755","          1.30","2,452","2,413","          1.02","4,874","3,764","          1.29","2,466","2,408","          1.02","4,866","3,762","          1.29","2,458","2,408","          1.02","4,915","3,804","          1.29","2,483","2,432","          1.02","5,009","3,897","          1.29","2,531","2,478","          1.02","5,019","3,914","          1.28","2,531","2,488","          1.02","5,022","3,924","          1.28","2,530","2,492","          1.02","5,029","3,922","          1.28","2,527","2,502","          1.01","5,077","3,965","          1.28","2,539","2,538","          1.00","5,157","4,036","          1.28","2,575","2,582","          1.00","5,213","4,087","          1.28","2,600","2,613","          1.00","5,213","4,101","          1.27","2,598","2,615","          0.99"
"광주광역시 동구 동명동(2911054500)","3,875","2,401","          1.61","1,925","1,950","          0.99","3,883","2,423","          1.60","1,924","1,959","          0.98","3,853","2,421","          1.59","1,930","1,923","          1.00","3,847","2,428","          1.58","1,936","1,911","          1.01","3,868","2,457","          1.57","1,942","1,926","          1.01","3,881","2,469","          1.57","1,946","1,935","          1.01","3,883","2,468","          1.57","1,953","1,930","          1.01","3,901","2,489","          1.57","1,967","1,934","          1.02","3,921","2,508","          1.56","1,979","1,942","          1.02","3,913","2,513","          1.56","1,971","1,942","          1.01","3,896","2,503","          1.56","1,965","1,931","          1.02","3,890","2,497","          1.56","1,965","1,925","          1.02","3,895","2,504","          1.56","1,963","1,932","          1.02","3,887","2,496","          1.56","1,964","1,923","          1.02","3,853","2,473","          1.56","1,943","1,910","          1.02","3,834","2,460","          1.56","1,937","1,897","          1.02","3,840","2,458","          1.56","1,934","1,906","          1.01","3,845","2,463","          1.56","1,939","1,906","          1.02","3,856","2,474","          1.56","1,949","1,907","          1.02","3,868","2,496","          1.55","1,958","1,910","          1.03","3,845","2,491","          1.54","1,946","1,899","          1.02","3,830","2,477","          1.55","1,934","1,896","          1.02","3,770","2,445","          1.54","1,910","1,860","          1.03","3,743","2,426","          1.54","1,885","1,858","          1.01","3,725","2,419","          1.54","1,869","1,856","          1.01","3,733","2,440","          1.53","1,875","1,858","          1.01","3,724","2,447","          1.52","1,862","1,862","          1.00"
"광주광역시 동구 계림1동(2911056000)","10,478","5,718","          1.83","5,476","5,002","          1.09","10,544","5,734","          1.84","5,498","5,046","          1.09","10,550","5,718","          1.85","5,511","5,039","          1.09","10,569","5,730","          1.84","5,506","5,063","          1.09","10,622","5,758","          1.84","5,526","5,096","          1.08","10,669","5,772","          1.85","5,555","5,114","          1.09","10,642","5,798","          1.84","5,553","5,089","          1.09","10,860","5,942","          1.83","5,652","5,208","          1.09","10,953","5,986","          1.83","5,682","5,271","          1.08","10,976","6,004","          1.83","5,693","5,283","          1.08","10,989","6,000","          1.83","5,711","5,278","          1.08","11,009","6,016","          1.83","5,725","5,284","          1.08","10,998","6,003","          1.83","5,720","5,278","          1.08","10,935","5,986","          1.83","5,690","5,245","          1.08","10,897","5,959","          1.83","5,681","5,216","          1.09","10,885","5,949","          1.83","5,666","5,219","          1.09","10,875","5,950","          1.83","5,661","5,214","          1.09","10,847","5,937","          1.83","5,643","5,204","          1.08","10,844","5,925","          1.83","5,648","5,196","          1.09","10,755","5,897","          1.82","5,613","5,142","          1.09","10,687","5,865","          1.82","5,583","5,104","          1.09","10,583","5,822","          1.82","5,548","5,035","          1.10","10,537","5,807","          1.81","5,532","5,005","          1.11","10,507","5,795","          1.81","5,517","4,990","          1.11","10,524","5,802","          1.81","5,531","4,993","          1.11","10,568","5,812","          1.82","5,550","5,018","          1.11","10,581","5,823","          1.82","5,558","5,023","          1.11"
"광주광역시 동구 계림2동(2911057000)","7,833","3,319","          2.36","3,793","4,040","          0.94","7,845","3,323","          2.36","3,794","4,051","          0.94","7,837","3,304","          2.37","3,783","4,054","          0.93","8,618","3,639","          2.37","4,172","4,446","          0.94","9,165","3,860","          2.37","4,448","4,717","          0.94","9,441","3,983","          2.37","4,592","4,849","          0.95","9,568","4,028","          2.38","4,660","4,908","          0.95","9,669","4,063","          2.38","4,715","4,954","          0.95","9,730","4,068","          2.39","4,732","4,998","          0.95","9,723","4,077","          2.38","4,732","4,991","          0.95","9,760","4,122","          2.37","4,746","5,014","          0.95","9,818","4,151","          2.37","4,774","5,044","          0.95","9,800","4,155","          2.36","4,756","5,044","          0.94","9,802","4,159","          2.36","4,764","5,038","          0.95","9,740","4,143","          2.35","4,721","5,019","          0.94","9,752","4,149","          2.35","4,725","5,027","          0.94","9,742","4,145","          2.35","4,722","5,020","          0.94","9,742","4,148","          2.35","4,712","5,030","          0.94","9,706","4,149","          2.34","4,690","5,016","          0.94","11,486","4,855","          2.37","5,596","5,890","          0.95","12,361","5,210","          2.37","6,052","6,309","          0.96","12,660","5,328","          2.38","6,190","6,470","          0.96","12,791","5,389","          2.37","6,253","6,538","          0.96","12,893","5,420","          2.38","6,306","6,587","          0.96","12,987","5,453","          2.38","6,354","6,633","          0.96","13,043","5,477","          2.38","6,389","6,654","          0.96","12,979","5,456","          2.38","6,356","6,623","          0.96"
"광주광역시 동구 산수1동(2911059000)","8,836","4,549","          1.94","4,398","4,438","          0.99","8,822","4,544","          1.94","4,382","4,440","          0.99","8,827","4,559","          1.94","4,385","4,442","          0.99","8,755","4,534","          1.93","4,362","4,393","          0.99","8,658","4,483","          1.93","4,328","4,330","          1.00","8,659","4,484","          1.93","4,338","4,321","          1.00","8,627","4,474","          1.93","4,324","4,303","          1.00","8,583","4,465","          1.92","4,288","4,295","          1.00","8,592","4,477","          1.92","4,296","4,296","          1.00","8,591","4,480","          1.92","4,303","4,288","          1.00","8,570","4,493","          1.91","4,292","4,278","          1.00","8,579","4,503","          1.91","4,300","4,279","          1.00","8,622","4,517","          1.91","4,318","4,304","          1.00","8,590","4,502","          1.91","4,307","4,283","          1.01","8,552","4,494","          1.90","4,291","4,261","          1.01","8,534","4,480","          1.90","4,282","4,252","          1.01","8,489","4,471","          1.90","4,262","4,227","          1.01","8,471","4,461","          1.90","4,251","4,220","          1.01","8,452","4,458","          1.90","4,242","4,210","          1.01","8,368","4,440","          1.88","4,193","4,175","          1.00","8,323","4,437","          1.88","4,175","4,148","          1.01","8,261","4,416","          1.87","4,154","4,107","          1.01","8,234","4,412","          1.87","4,147","4,087","          1.01","8,236","4,415","          1.87","4,157","4,079","          1.02","8,199","4,404","          1.86","4,129","4,070","          1.01","8,191","4,404","          1.86","4,126","4,065","          1.02","8,191","4,393","          1.86","4,116","4,075","          1.01"
"광주광역시 동구 산수2동(2911060000)","10,398","4,671","          2.23","5,081","5,317","          0.96","10,399","4,692","          2.22","5,070","5,329","          0.95","10,373","4,673","          2.22","5,055","5,318","          0.95","10,317","4,672","          2.21","5,021","5,296","          0.95","10,319","4,680","          2.20","5,018","5,301","          0.95","10,364","4,714","          2.20","5,041","5,323","          0.95","10,408","4,761","          2.19","5,054","5,354","          0.94","10,404","4,777","          2.18","5,053","5,351","          0.94","10,398","4,791","          2.17","5,048","5,350","          0.94","10,426","4,811","          2.17","5,058","5,368","          0.94","10,465","4,848","          2.16","5,084","5,381","          0.94","10,501","4,865","          2.16","5,100","5,401","          0.94","10,513","4,867","          2.16","5,107","5,406","          0.94","10,499","4,876","          2.15","5,105","5,394","          0.95","10,498","4,885","          2.15","5,098","5,400","          0.94","10,506","4,888","          2.15","5,102","5,404","          0.94","10,492","4,893","          2.14","5,088","5,404","          0.94","10,464","4,887","          2.14","5,077","5,387","          0.94","10,426","4,868","          2.14","5,064","5,362","          0.94","10,345","4,841","          2.14","5,032","5,313","          0.95","10,277","4,808","          2.14","4,995","5,282","          0.95","10,209","4,775","          2.14","4,961","5,248","          0.95","10,165","4,764","          2.13","4,942","5,223","          0.95","10,127","4,749","          2.13","4,924","5,203","          0.95","10,077","4,741","          2.13","4,900","5,177","          0.95","10,017","4,729","          2.12","4,880","5,137","          0.95","10,012","4,725","          2.12","4,876","5,136","          0.95"
"광주광역시 동구 지산1동(2911062000)","4,391","2,416","          1.82","2,226","2,165","          1.03","4,372","2,420","          1.81","2,219","2,153","          1.03","4,383","2,430","          1.80","2,223","2,160","          1.03","4,356","2,432","          1.79","2,194","2,162","          1.01","4,295","2,403","          1.79","2,165","2,130","          1.02","4,264","2,392","          1.78","2,144","2,120","          1.01","4,232","2,385","          1.77","2,129","2,103","          1.01","4,237","2,396","          1.77","2,136","2,101","          1.02","4,270","2,429","          1.76","2,159","2,111","          1.02","4,271","2,433","          1.76","2,161","2,110","          1.02","4,271","2,434","          1.75","2,154","2,117","          1.02","4,249","2,429","          1.75","2,146","2,103","          1.02","4,233","2,432","          1.74","2,139","2,094","          1.02","4,249","2,436","          1.74","2,155","2,094","          1.03","4,234","2,438","          1.74","2,168","2,066","          1.05","4,227","2,437","          1.73","2,174","2,053","          1.06","4,223","2,436","          1.73","2,178","2,045","          1.07","4,210","2,425","          1.74","2,171","2,039","          1.06","4,213","2,430","          1.73","2,173","2,040","          1.07","4,208","2,446","          1.72","2,174","2,034","          1.07","4,200","2,455","          1.71","2,171","2,029","          1.07","4,176","2,456","          1.70","2,163","2,013","          1.07","4,172","2,452","          1.70","2,160","2,012","          1.07","4,156","2,451","          1.70","2,155","2,001","          1.08","4,126","2,429","          1.70","2,142","1,984","          1.08","4,129","2,435","          1.70","2,138","1,991","          1.07","4,150","2,446","          1.70","2,143","2,007","          1.07"
"광주광역시 동구 지산2동(2911063000)","4,743","2,468","          1.92","2,444","2,299","          1.06","4,697","2,454","          1.91","2,421","2,276","          1.06","4,674","2,459","          1.90","2,400","2,274","          1.06","4,675","2,462","          1.90","2,388","2,287","          1.04","4,645","2,448","          1.90","2,370","2,275","          1.04","4,647","2,456","          1.89","2,367","2,280","          1.04","4,635","2,442","          1.90","2,366","2,269","          1.04","4,589","2,427","          1.89","2,349","2,240","          1.05","4,611","2,441","          1.89","2,359","2,252","          1.05","4,613","2,439","          1.89","2,357","2,256","          1.04","4,606","2,444","          1.88","2,351","2,255","          1.04","4,567","2,438","          1.87","2,333","2,234","          1.04","4,515","2,417","          1.87","2,309","2,206","          1.05","4,512","2,426","          1.86","2,311","2,201","          1.05","4,486","2,416","          1.86","2,291","2,195","          1.04","4,484","2,412","          1.86","2,293","2,191","          1.05","4,462","2,411","          1.85","2,287","2,175","          1.05","4,464","2,410","          1.85","2,282","2,182","          1.05","4,430","2,389","          1.85","2,270","2,160","          1.05","4,441","2,403","          1.85","2,275","2,166","          1.05","4,409","2,376","          1.86","2,257","2,152","          1.05","4,411","2,375","          1.86","2,261","2,150","          1.05","4,401","2,370","          1.86","2,258","2,143","          1.05","4,389","2,373","          1.85","2,249","2,140","          1.05","4,380","2,373","          1.85","2,245","2,135","          1.05","4,368","2,381","          1.83","2,237","2,131","          1.05","4,350","2,381","          1.83","2,232","2,118","          1.05"
"광주광역시 동구 서남동(2911065500)","3,226","2,280","          1.41","1,687","1,539","          1.10","3,191","2,256","          1.41","1,670","1,521","          1.10","3,187","2,262","          1.41","1,666","1,521","          1.10","3,161","2,247","          1.41","1,655","1,506","          1.10","3,086","2,201","          1.40","1,643","1,443","          1.14","3,063","2,192","          1.40","1,629","1,434","          1.14","3,074","2,207","          1.39","1,633","1,441","          1.13","3,063","2,208","          1.39","1,631","1,432","          1.14","3,096","2,247","          1.38","1,655","1,441","          1.15","3,085","2,245","          1.37","1,650","1,435","          1.15","3,072","2,236","          1.37","1,641","1,431","          1.15","3,056","2,227","          1.37","1,632","1,424","          1.15","2,986","2,179","          1.37","1,590","1,396","          1.14","2,963","2,176","          1.36","1,575","1,388","          1.13","2,969","2,194","          1.35","1,581","1,388","          1.14","2,974","2,209","          1.35","1,582","1,392","          1.14","3,012","2,243","          1.34","1,602","1,410","          1.14","3,032","2,263","          1.34","1,602","1,430","          1.12","3,048","2,280","          1.34","1,606","1,442","          1.11","3,067","2,304","          1.33","1,619","1,448","          1.12","3,049","2,293","          1.33","1,620","1,429","          1.13","3,026","2,269","          1.33","1,607","1,419","          1.13","3,010","2,258","          1.33","1,597","1,413","          1.13","2,981","2,233","          1.33","1,577","1,404","          1.12","2,949","2,210","          1.33","1,565","1,384","          1.13","2,969","2,241","          1.32","1,588","1,381","          1.15","2,959","2,243","          1.32","1,579","1,380","          1.14"
