"행정구역","2021년01월_총인구수","2021년01월_세대수","2021년01월_세대당 인구","2021년01월_남자 인구수","2021년01월_여자 인구수","2021년01월_남여 비율","2021년02월_총인구수","2021년02월_세대수","2021년02월_세대당 인구","2021년02월_남자 인구수","2021년02월_여자 인구수","2021년02월_남여 비율","2021년03월_총인구수","2021년03월_세대수","2021년03월_세대당 인구","2021년03월_남자 인구수","2021년03월_여자 인구수","2021년03월_남여 비율","2021년04월_총인구수","2021년04월_세대수","2021년04월_세대당 인구","2021년04월_남자 인구수","2021년04월_여자 인구수","2021년04월_남여 비율","2021년05월_총인구수","2021년05월_세대수","2021년05월_세대당 인구","2021년05월_남자 인구수","2021년05월_여자 인구수","2021년05월_남여 비율","2021년06월_총인구수","2021년06월_세대수","2021년06월_세대당 인구","2021년06월_남자 인구수","2021년06월_여자 인구수","2021년06월_남여 비율","2021년07월_총인구수","2021년07월_세대수","2021년07월_세대당 인구","2021년07월_남자 인구수","2021년07월_여자 인구수","2021년07월_남여 비율","2021년08월_총인구수","2021년08월_세대수","2021년08월_세대당 인구","2021년08월_남자 인구수","2021년08월_여자 인구수","2021년08월_남여 비율","2021년09월_총인구수","2021년09월_세대수","2021년09월_세대당 인구","2021년09월_남자 인구수","2021년09월_여자 인구수","2021년09월_남여 비율","2021년10월_총인구수","2021년10월_세대수","2021년10월_세대당 인구","2021년10월_남자 인구수","2021년10월_여자 인구수","2021년10월_남여 비율","2021년11월_총인구수","2021년11월_세대수","2021년11월_세대당 인구","2021년11월_남자 인구수","2021년11월_여자 인구수","2021년11월_남여 비율","2021년12월_총인구수","2021년12월_세대수","2021년12월_세대당 인구","2021년12월_남자 인구수","2021년12월_여자 인구수","2021년12월_남여 비율","2022년01월_총인구수","2022년01월_세대수","2022년01월_세대당 인구","2022년01월_남자 인구수","2022년01월_여자 인구수","2022년01월_남여 비율","2022년02월_총인구수","2022년02월_세대수","2022년02월_세대당 인구","2022년02월_남자 인구수","2022년02월_여자 인구수","2022년02월_남여 비율","2022년03월_총인구수","2022년03월_세대수","2022년03월_세대당 인구","2022년03월_남자 인구수","2022년03월_여자 인구수","2022년03월_남여 비율","2022년04월_총인구수","2022년04월_세대수","2022년04월_세대당 인구","2022년04월_남자 인구수","2022년04월_여자 인구수","2022년04월_남여 비율","2022년05월_총인구수","2022년05월_세대수","2022년05월_세대당 인구","2022년05월_남자 인구수","2022년05월_여자 인구수","2022년05월_남여 비율","2022년06월_총인구수","2022년06월_세대수","2022년06월_세대당 인구","2022년06월_남자 인구수","2022년06월_여자 인구수","2022년06월_남여 비율","2022년07월_총인구수","2022년07월_세대수","2022년07월_세대당 인구","2022년07월_남자 인구수","2022년07월_여자 인구수","2022년07월_남여 비율","2022년08월_총인구수","2022년08월_세대수","2022년08월_세대당 인구","2022년08월_남자 인구수","2022년08월_여자 인구수","2022년08월_남여 비율","2022년09월_총인구수","2022년09월_세대수","2022년09월_세대당 인구","2022년09월_남자 인구수","2022년09월_여자 인구수","2022년09월_남여 비율","2022년10월_총인구수","2022년10월_세대수","2022년10월_세대당 인구","2022년10월_남자 인구수","2022년10월_여자 인구수","2022년10월_남여 비율","2022년11월_총인구수","2022년11월_세대수","2022년11월_세대당 인구","2022년11월_남자 인구수","2022년11월_여자 인구수","2022년11월_남여 비율","2022년12월_총인구수","2022년12월_세대수","2022년12월_세대당 인구","2022년12월_남자 인구수","2022년12월_여자 인구수","2022년12월_남여 비율","2023년01월_총인구수","2023년01월_세대수","2023년01월_세대당 인구","2023년01월_남자 인구수","2023년01월_여자 인구수","2023년01월_남여 비율","2023년02월_총인구수","2023년02월_세대수","2023년02월_세대당 인구","2023년02월_남자 인구수","2023년02월_여자 인구수","2023년02월_남여 비율","2023년03월_총인구수","2023년03월_세대수","2023년03월_세대당 인구","2023년03월_남자 인구수","2023년03월_여자 인구수","2023년03월_남여 비율"
"광주광역시 서구 (2914000000)","296,036","131,644","          2.25","145,049","150,987","          0.96","295,368","131,791","          2.24","144,682","150,686","          0.96","294,691","131,813","          2.24","144,373","150,318","          0.96","294,128","131,827","          2.23","144,117","150,011","          0.96","293,364","131,724","          2.23","143,812","149,552","          0.96","293,088","131,850","          2.22","143,635","149,453","          0.96","292,724","131,981","          2.22","143,459","149,265","          0.96","292,400","132,214","          2.21","143,271","149,129","          0.96","292,180","132,468","          2.21","143,177","149,003","          0.96","291,705","132,548","          2.20","142,908","148,797","          0.96","291,411","132,663","          2.20","142,783","148,628","          0.96","291,231","132,808","          2.19","142,721","148,510","          0.96","291,235","132,931","          2.19","142,697","148,538","          0.96","290,550","132,949","          2.19","142,303","148,247","          0.96","289,789","133,049","          2.18","141,932","147,857","          0.96","289,341","133,103","          2.17","141,697","147,644","          0.96","288,703","133,119","          2.17","141,389","147,314","          0.96","288,120","133,066","          2.17","141,070","147,050","          0.96","287,748","133,081","          2.16","140,896","146,852","          0.96","288,100","133,511","          2.16","141,100","147,000","          0.96","288,043","133,647","          2.16","141,076","146,967","          0.96","287,720","133,602","          2.15","140,932","146,788","          0.96","287,607","133,548","          2.15","140,850","146,757","          0.96","287,401","133,554","          2.15","140,726","146,675","          0.96","287,347","133,676","          2.15","140,696","146,651","          0.96","287,237","133,857","          2.15","140,606","146,631","          0.96","286,826","133,935","          2.14","140,374","146,452","          0.96"
"광주광역시 서구 양동(2914057500)","3,981","2,255","          1.77","1,957","2,024","          0.97","3,954","2,258","          1.75","1,940","2,014","          0.96","3,935","2,241","          1.76","1,941","1,994","          0.97","3,938","2,240","          1.76","1,948","1,990","          0.98","3,855","2,192","          1.76","1,920","1,935","          0.99","3,836","2,184","          1.76","1,913","1,923","          0.99","3,831","2,181","          1.76","1,911","1,920","          1.00","3,803","2,178","          1.75","1,894","1,909","          0.99","3,801","2,175","          1.75","1,896","1,905","          1.00","3,754","2,149","          1.75","1,871","1,883","          0.99","3,727","2,147","          1.74","1,860","1,867","          1.00","3,686","2,121","          1.74","1,848","1,838","          1.01","3,663","2,106","          1.74","1,828","1,835","          1.00","3,652","2,093","          1.74","1,816","1,836","          0.99","3,619","2,076","          1.74","1,789","1,830","          0.98","3,613","2,077","          1.74","1,782","1,831","          0.97","3,608","2,078","          1.74","1,775","1,833","          0.97","3,573","2,056","          1.74","1,756","1,817","          0.97","3,555","2,051","          1.73","1,749","1,806","          0.97","3,520","2,043","          1.72","1,737","1,783","          0.97","3,495","2,018","          1.73","1,723","1,772","          0.97","3,479","2,010","          1.73","1,725","1,754","          0.98","3,451","1,989","          1.74","1,707","1,744","          0.98","3,425","1,976","          1.73","1,694","1,731","          0.98","3,416","1,980","          1.73","1,691","1,725","          0.98","3,408","1,977","          1.72","1,684","1,724","          0.98","3,396","1,972","          1.72","1,684","1,712","          0.98"
"광주광역시 서구 양3동(2914059000)","4,726","2,193","          2.16","2,304","2,422","          0.95","4,722","2,193","          2.15","2,304","2,418","          0.95","4,705","2,183","          2.16","2,299","2,406","          0.96","4,708","2,193","          2.15","2,304","2,404","          0.96","4,684","2,193","          2.14","2,295","2,389","          0.96","4,651","2,188","          2.13","2,276","2,375","          0.96","4,625","2,185","          2.12","2,262","2,363","          0.96","4,637","2,194","          2.11","2,272","2,365","          0.96","4,622","2,184","          2.12","2,259","2,363","          0.96","4,590","2,175","          2.11","2,236","2,354","          0.95","4,581","2,172","          2.11","2,230","2,351","          0.95","4,578","2,174","          2.11","2,218","2,360","          0.94","4,576","2,174","          2.10","2,213","2,363","          0.94","4,562","2,172","          2.10","2,214","2,348","          0.94","4,541","2,171","          2.09","2,210","2,331","          0.95","4,532","2,170","          2.09","2,203","2,329","          0.95","4,537","2,176","          2.09","2,208","2,329","          0.95","4,519","2,178","          2.07","2,198","2,321","          0.95","4,513","2,179","          2.07","2,196","2,317","          0.95","4,492","2,177","          2.06","2,188","2,304","          0.95","4,485","2,177","          2.06","2,191","2,294","          0.96","4,461","2,169","          2.06","2,176","2,285","          0.95","4,439","2,158","          2.06","2,166","2,273","          0.95","4,433","2,152","          2.06","2,161","2,272","          0.95","4,411","2,147","          2.05","2,146","2,265","          0.95","4,389","2,139","          2.05","2,139","2,250","          0.95","4,368","2,141","          2.04","2,128","2,240","          0.95"
"광주광역시 서구 농성1동(2914065000)","11,036","6,023","          1.83","5,454","5,582","          0.98","11,033","6,053","          1.82","5,464","5,569","          0.98","11,027","6,072","          1.82","5,452","5,575","          0.98","10,986","6,056","          1.81","5,436","5,550","          0.98","10,965","6,067","          1.81","5,438","5,527","          0.98","10,972","6,077","          1.81","5,435","5,537","          0.98","10,964","6,086","          1.80","5,431","5,533","          0.98","10,907","6,075","          1.80","5,404","5,503","          0.98","10,885","6,088","          1.79","5,391","5,494","          0.98","10,880","6,114","          1.78","5,376","5,504","          0.98","10,884","6,149","          1.77","5,386","5,498","          0.98","11,008","6,218","          1.77","5,435","5,573","          0.98","11,008","6,229","          1.77","5,427","5,581","          0.97","11,020","6,245","          1.76","5,444","5,576","          0.98","11,219","6,352","          1.77","5,551","5,668","          0.98","11,304","6,393","          1.77","5,578","5,726","          0.97","11,308","6,413","          1.76","5,571","5,737","          0.97","11,310","6,417","          1.76","5,567","5,743","          0.97","11,355","6,432","          1.77","5,603","5,752","          0.97","11,315","6,425","          1.76","5,585","5,730","          0.97","11,187","6,363","          1.76","5,516","5,671","          0.97","11,117","6,334","          1.76","5,485","5,632","          0.97","11,181","6,373","          1.75","5,499","5,682","          0.97","11,243","6,409","          1.75","5,532","5,711","          0.97","11,321","6,463","          1.75","5,565","5,756","          0.97","11,402","6,535","          1.74","5,602","5,800","          0.97","11,411","6,556","          1.74","5,600","5,811","          0.96"
"광주광역시 서구 농성2동(2914066000)","5,078","2,962","          1.71","2,628","2,450","          1.07","5,064","2,959","          1.71","2,630","2,434","          1.08","5,023","2,943","          1.71","2,610","2,413","          1.08","4,998","2,943","          1.70","2,605","2,393","          1.09","4,996","2,938","          1.70","2,601","2,395","          1.09","4,993","2,948","          1.69","2,597","2,396","          1.08","4,996","2,954","          1.69","2,607","2,389","          1.09","4,980","2,961","          1.68","2,603","2,377","          1.10","4,949","2,946","          1.68","2,584","2,365","          1.09","4,945","2,954","          1.67","2,591","2,354","          1.10","4,936","2,953","          1.67","2,583","2,353","          1.10","4,900","2,944","          1.66","2,571","2,329","          1.10","4,900","2,956","          1.66","2,576","2,324","          1.11","4,869","2,949","          1.65","2,560","2,309","          1.11","4,839","2,950","          1.64","2,546","2,293","          1.11","4,806","2,936","          1.64","2,528","2,278","          1.11","4,803","2,940","          1.63","2,528","2,275","          1.11","4,783","2,954","          1.62","2,511","2,272","          1.11","4,783","2,955","          1.62","2,512","2,271","          1.11","4,772","2,946","          1.62","2,508","2,264","          1.11","4,726","2,916","          1.62","2,484","2,242","          1.11","4,697","2,902","          1.62","2,468","2,229","          1.11","4,699","2,907","          1.62","2,467","2,232","          1.11","4,689","2,902","          1.62","2,456","2,233","          1.10","4,656","2,890","          1.61","2,445","2,211","          1.11","4,632","2,888","          1.60","2,430","2,202","          1.10","4,592","2,867","          1.60","2,408","2,184","          1.10"
"광주광역시 서구 광천동(2914073000)","8,596","4,372","          1.97","4,397","4,199","          1.05","8,494","4,335","          1.96","4,350","4,144","          1.05","8,430","4,302","          1.96","4,323","4,107","          1.05","8,437","4,307","          1.96","4,328","4,109","          1.05","8,372","4,293","          1.95","4,295","4,077","          1.05","8,311","4,262","          1.95","4,262","4,049","          1.05","8,247","4,252","          1.94","4,237","4,010","          1.06","8,229","4,254","          1.93","4,238","3,991","          1.06","8,202","4,256","          1.93","4,208","3,994","          1.05","8,139","4,233","          1.92","4,170","3,969","          1.05","8,123","4,232","          1.92","4,162","3,961","          1.05","8,084","4,234","          1.91","4,155","3,929","          1.06","8,044","4,218","          1.91","4,136","3,908","          1.06","7,985","4,205","          1.90","4,109","3,876","          1.06","7,943","4,191","          1.90","4,090","3,853","          1.06","7,904","4,177","          1.89","4,073","3,831","          1.06","7,885","4,178","          1.89","4,058","3,827","          1.06","7,849","4,169","          1.88","4,043","3,806","          1.06","7,805","4,146","          1.88","4,023","3,782","          1.06","7,772","4,129","          1.88","4,002","3,770","          1.06","7,721","4,099","          1.88","3,992","3,729","          1.07","7,681","4,080","          1.88","3,968","3,713","          1.07","7,633","4,063","          1.88","3,946","3,687","          1.07","7,636","4,063","          1.88","3,938","3,698","          1.06","7,610","4,037","          1.89","3,918","3,692","          1.06","7,561","4,019","          1.88","3,891","3,670","          1.06","7,511","3,997","          1.88","3,869","3,642","          1.06"
"광주광역시 서구 유덕동(2914074000)","10,752","4,690","          2.29","5,469","5,283","          1.04","10,713","4,687","          2.29","5,446","5,267","          1.03","10,671","4,662","          2.29","5,429","5,242","          1.04","10,663","4,667","          2.28","5,424","5,239","          1.04","10,644","4,646","          2.29","5,415","5,229","          1.04","10,797","4,739","          2.28","5,499","5,298","          1.04","10,957","4,822","          2.27","5,580","5,377","          1.04","11,018","4,888","          2.25","5,617","5,401","          1.04","11,004","4,871","          2.26","5,613","5,391","          1.04","11,028","4,895","          2.25","5,620","5,408","          1.04","11,019","4,905","          2.25","5,615","5,404","          1.04","10,975","4,898","          2.24","5,601","5,374","          1.04","10,968","4,887","          2.24","5,596","5,372","          1.04","10,960","4,888","          2.24","5,583","5,377","          1.04","10,936","4,891","          2.24","5,580","5,356","          1.04","10,924","4,906","          2.23","5,572","5,352","          1.04","10,906","4,909","          2.22","5,572","5,334","          1.04","10,861","4,895","          2.22","5,550","5,311","          1.05","10,855","4,900","          2.22","5,556","5,299","          1.05","10,781","4,880","          2.21","5,508","5,273","          1.04","10,730","4,859","          2.21","5,481","5,249","          1.04","10,693","4,849","          2.21","5,467","5,226","          1.05","10,698","4,851","          2.21","5,471","5,227","          1.05","10,684","4,859","          2.20","5,460","5,224","          1.05","10,684","4,869","          2.19","5,466","5,218","          1.05","10,634","4,858","          2.19","5,446","5,188","          1.05","10,606","4,859","          2.18","5,441","5,165","          1.05"
"광주광역시 서구 치평동(2914074500)","30,623","13,435","          2.28","14,658","15,965","          0.92","30,636","13,471","          2.27","14,668","15,968","          0.92","30,550","13,478","          2.27","14,620","15,930","          0.92","30,472","13,454","          2.26","14,581","15,891","          0.92","30,414","13,461","          2.26","14,547","15,867","          0.92","30,417","13,484","          2.26","14,534","15,883","          0.92","30,382","13,491","          2.25","14,508","15,874","          0.91","30,351","13,529","          2.24","14,494","15,857","          0.91","30,334","13,584","          2.23","14,494","15,840","          0.92","30,288","13,589","          2.23","14,468","15,820","          0.91","30,344","13,617","          2.23","14,507","15,837","          0.92","30,293","13,617","          2.22","14,476","15,817","          0.92","30,331","13,645","          2.22","14,494","15,837","          0.92","30,299","13,654","          2.22","14,462","15,837","          0.91","30,139","13,626","          2.21","14,403","15,736","          0.92","30,087","13,621","          2.21","14,379","15,708","          0.92","30,023","13,622","          2.20","14,352","15,671","          0.92","29,988","13,609","          2.20","14,318","15,670","          0.91","29,955","13,621","          2.20","14,307","15,648","          0.91","29,828","13,614","          2.19","14,264","15,564","          0.92","29,679","13,595","          2.18","14,189","15,490","          0.92","29,594","13,577","          2.18","14,136","15,458","          0.91","29,473","13,523","          2.18","14,059","15,414","          0.91","29,433","13,518","          2.18","14,029","15,404","          0.91","29,414","13,538","          2.17","13,997","15,417","          0.91","29,433","13,577","          2.17","13,984","15,449","          0.91","29,389","13,594","          2.16","13,948","15,441","          0.90"
"광주광역시 서구 상무1동(2914075100)","25,080","12,043","          2.08","12,505","12,575","          0.99","24,977","12,049","          2.07","12,451","12,526","          0.99","24,954","12,073","          2.07","12,465","12,489","          1.00","24,970","12,101","          2.06","12,468","12,502","          1.00","24,926","12,079","          2.06","12,446","12,480","          1.00","24,843","12,069","          2.06","12,407","12,436","          1.00","24,808","12,068","          2.06","12,401","12,407","          1.00","24,826","12,096","          2.05","12,403","12,423","          1.00","24,874","12,146","          2.05","12,440","12,434","          1.00","24,808","12,158","          2.04","12,404","12,404","          1.00","24,773","12,150","          2.04","12,398","12,375","          1.00","24,802","12,183","          2.04","12,415","12,387","          1.00","24,809","12,200","          2.03","12,411","12,398","          1.00","24,763","12,213","          2.03","12,397","12,366","          1.00","24,775","12,257","          2.02","12,404","12,371","          1.00","24,706","12,245","          2.02","12,373","12,333","          1.00","24,659","12,259","          2.01","12,376","12,283","          1.01","24,604","12,259","          2.01","12,330","12,274","          1.00","24,571","12,262","          2.00","12,311","12,260","          1.00","24,551","12,288","          2.00","12,286","12,265","          1.00","24,509","12,284","          2.00","12,243","12,266","          1.00","24,449","12,261","          1.99","12,215","12,234","          1.00","24,439","12,255","          1.99","12,218","12,221","          1.00","24,353","12,218","          1.99","12,186","12,167","          1.00","24,323","12,220","          1.99","12,177","12,146","          1.00","24,249","12,222","          1.98","12,142","12,107","          1.00","24,226","12,243","          1.98","12,124","12,102","          1.00"
"광주광역시 서구 상무2동(2914075200)","24,010","12,761","          1.88","11,685","12,325","          0.95","23,996","12,807","          1.87","11,660","12,336","          0.95","23,970","12,839","          1.87","11,662","12,308","          0.95","23,947","12,859","          1.86","11,664","12,283","          0.95","23,855","12,837","          1.86","11,635","12,220","          0.95","23,830","12,859","          1.85","11,612","12,218","          0.95","23,796","12,874","          1.85","11,591","12,205","          0.95","23,813","12,908","          1.84","11,600","12,213","          0.95","23,877","12,978","          1.84","11,653","12,224","          0.95","23,895","13,034","          1.83","11,674","12,221","          0.96","23,868","13,043","          1.83","11,636","12,232","          0.95","23,861","13,083","          1.82","11,646","12,215","          0.95","23,874","13,126","          1.82","11,638","12,236","          0.95","23,832","13,144","          1.81","11,594","12,238","          0.95","23,789","13,171","          1.81","11,567","12,222","          0.95","23,728","13,154","          1.80","11,530","12,198","          0.95","23,641","13,154","          1.80","11,495","12,146","          0.95","23,578","13,125","          1.80","11,474","12,104","          0.95","23,565","13,148","          1.79","11,481","12,084","          0.95","23,426","13,122","          1.79","11,416","12,010","          0.95","23,301","13,075","          1.78","11,371","11,930","          0.95","23,156","13,012","          1.78","11,277","11,879","          0.95","23,133","13,006","          1.78","11,256","11,877","          0.95","23,028","12,984","          1.77","11,203","11,825","          0.95","23,006","12,981","          1.77","11,185","11,821","          0.95","22,928","12,947","          1.77","11,139","11,789","          0.94","22,951","12,980","          1.77","11,157","11,794","          0.95"
