년(Annual),시도,시군구,계,계,전,전,답,답,과수원,과수원,목장용지,목장용지,임야,임야,광천지,광천지,염전,염전,대,대,공장용지,공장용지,학교용지,학교용지,주차장,주차장,주유소용지,주유소용지,창고용지,창고용지,도로,도로,철도용지,철도용지,제방,제방,하천,하천,구거,구거,유지,유지,양어장,양어장,수도용지,수도용지,공원,공원,체육용지,체육용지,유원지,유원지,종교용지,종교용지,사적지,사적지,묘지,묘지,잡종지,잡종지
년(Annual),시도,시군구,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수
2017,전국,전국,100363715033.7,38549959,7611004021.1,7142160,11282071406.8,7975798,598602939.3,274316,564531871,154619,63834414168.2,4794111,6325.3,302,92399556.4,13936,3093504063.9,7372397,991334735.5,281376,306071875.2,49418,34147817.1,32105,19847195.4,22110,119053239.6,120767,3251492760.5,6328118,142784695.2,138791,208663246.5,284501,2859881828.5,752488,1759334801.4,1434031,1399675810.7,395663,21096771.8,10646,52981535.1,59209,253132921.1,51963,348422855,34512,39375752,10102,54596983.2,49095,19695382.9,4163,282461722.5,263188,1123128752.5,500074
2017,서울,서울,605242806.9,956930,10814801.8,17557,11839241.5,13157,307415.4,276,388,1,139957858.1,20807,0,0,0,0,218594276,709633,2939243.4,1341,24426922.4,2980,1124901.6,1002,571252.6,856,106334.7,100,78814734.2,147964,7159981.1,4947,3838706.5,2065,52194690,9438,3535270.6,7322,1481054.4,370,0,0,1583592,650,21394635,5587,1469701.8,91,230014.4,24,2322191.9,2064,1582322.1,455,2341296.2,415,16611981.2,7828
2017,서울,종로구,23912788,50911,821875.5,786,0,0,0,0,0,0,9372080.4,961,0,0,0,0,8176048,37157,0,0,907968.6,165,22246.9,72,6737.3,13,0,0,2370385.6,10121,932.9,16,10946.9,11,281283.5,207,170814.5,595,0,0,0,0,85.2,4,309831,460,0,0,0,0,101877,113,1244657.1,68,11001,5,104016.6,157
2017,서울,중구,9959791.6,36270,0,0,0,0,0,0,0,0,1291056.2,242,0,0,0,0,5292421.1,28009,4359.6,2,393798.6,59,26546,44,7647.4,14,0,0,2146271.5,7347,125730.7,66,0,0,29443.2,16,14795.1,52,0,0,0,0,29588,22,446160,254,25315,23,0,0,111972.4,68,7518.7,11,0,0,7168.1,41
2017,서울,용산구,21866466.1,45704,60662.6,218,0,0,0,0,0,0,1605057,389,0,0,0,0,10065271.8,33026,0,0,521877.4,114,18909.3,42,9765,21,3180.6,10,2477211.4,9068,1236429.9,1030,155993,168,4776816.5,604,97394.4,467,44896.3,39,0,0,401.8,2,112809.5,148,484.6,2,0,0,87600.9,102,1581.4,10,43594,5,546528.7,239
2017,서울,성동구,16856985,28940,181834.3,356,22417,42,0,0,0,0,262302.2,180,0,0,0,0,6260304.8,21735,476543.3,439,946582.8,91,10162.9,20,4419.9,6,11044.6,9,2240206.4,4099,296346.7,230,356284.8,199,3776403,678,88328.8,181,99371.4,50,0,0,262320,204,529312.1,182,22067.5,6,195997,19,70092.9,61,0,0,12165,5,732477.6,148
2017,서울,광진구,17063241.8,33213,27059,131,11122,30,0,0,0,0,2482436.4,348,0,0,0,0,6992779.7,26961,91.2,1,1059375.8,99,17852.7,28,21236.9,36,0,0,2490293.2,4860,3220.7,23,172645,45,2524435.2,246,69037.5,93,37065.4,15,0,0,289068.5,58,720966.8,131,36739,11,0,0,53514.8,56,0,0,8367,1,45935,40
2017,서울,동대문구,14215008.1,43118,46533,261,15687,120,0,0,0,0,733459,216,0,0,0,0,7799019.5,35767,3910,5,1315707.7,134,7584.8,23,18107.9,26,0,0,2638941.3,5552,423774,241,139591,90,574240.8,192,81421.8,193,4324,2,0,0,724,3,294761.5,155,5826,1,0,0,86709,80,0,0,8177,16,16508.8,41
2017,서울,중랑구,18495350.2,40824,453496,969,203759,399,235150.3,237,0,0,2765577.6,639,0,0,0,0,6933165,30722,4234.9,1,648733.5,83,90288.5,77,18993,29,7681.3,23,2729512.5,6230,415061,311,170716,122,908517.9,178,175080.9,387,73119.3,7,0,0,3958,6,988890.2,167,0,0,0,0,83625.9,113,0,0,1413631.2,22,172158.2,102
