青沥备开内靛,矫,备,悼,斥,岿,醚牢备荐,搁利(搁利*啊吝摹/100)
2920051500,堡林堡开矫,堡魂备,价沥1悼,2015,01,11779,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2015,02,11784,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2015,03,11747,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2015,04,11747,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2015,05,11766,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2015,06,11720,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2015,07,11686,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2015,08,11656,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2015,09,11616,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2015,10,11611,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2015,11,11619,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2015,12,11607,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2016,01,11548,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2016,02,11535,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2016,03,11539,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2016,04,11500,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2016,05,11482,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2016,06,11484,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2016,07,11433,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2016,08,11423,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2016,09,11447,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2016,10,11469,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2016,11,11436,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2016,12,11387,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2017,01,11358,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2017,02,11320,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2017,03,11333,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2017,04,11277,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2017,05,11266,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2017,06,11290,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2017,07,11289,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2017,08,11214,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2017,09,11207,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2017,10,11181,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2017,11,11154,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2017,12,11116,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2018,01,11147,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2018,02,11073,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2018,03,11038,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2018,04,11036,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2018,05,11164,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2018,06,11212,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2018,07,11186,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2018,08,11195,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2018,09,11179,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2018,10,11219,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2018,11,11200,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2018,12,11161,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2019,01,11152,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2019,02,11203,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2019,03,11220,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2019,04,11172,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2019,05,11216,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2019,06,11183,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2019,07,11174,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2019,08,11193,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2019,09,11270,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2019,10,11330,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2019,11,11358,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2019,12,11381,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2020,01,11370,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2020,02,11397,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2020,03,11380,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2020,04,11303,0.9520381411070857
